dish_id,rank_equal,shift_equal,rank_carbon_200,shift_carbon_200,rank_water_scarce,shift_water_scarce,rank_planetary,shift_planetary,rank_energy_only,shift_energy_only,rank_carbon_only,shift_carbon_only,rank_water_only,shift_water_only
tempura,125.0,0.0,120.0,5.0,112.0,13.0,118.0,7.0,142.0,17.0,108.0,17.0,75.0,50.0
teriyaki,119.0,0.0,122.0,3.0,125.0,6.0,124.0,5.0,106.5,12.5,122.0,3.0,128.0,9.0
thai_iced_tea,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,11.0,7.0,6.0,2.0,6.0,2.0
tikka_masala,80.0,0.0,98.0,18.0,100.0,20.0,101.0,21.0,53.0,27.0,107.0,27.0,111.0,31.0
tiramisu,22.0,0.0,38.0,16.0,42.0,20.0,42.0,20.0,3.0,19.0,72.0,50.0,94.0,72.0
tom_kha,58.0,0.0,63.0,5.0,70.0,12.0,66.0,8.0,43.0,15.0,62.0,4.0,92.0,34.0
tom_yum,42.0,0.0,49.0,7.0,32.0,10.0,43.0,1.0,51.0,9.0,79.0,37.0,28.0,14.0
tteokbokki,43.0,0.0,41.0,2.0,37.0,6.0,40.0,3.0,62.0,19.0,52.0,9.0,41.0,2.0
udon,37.0,0.0,33.0,4.0,36.0,1.0,33.0,4.0,60.0,23.0,25.0,12.0,44.0,7.0
vindaloo,79.0,0.0,90.0,11.0,104.0,25.0,95.0,16.0,31.0,48.0,84.0,5.0,120.0,41.0
waffle,52.0,0.0,50.0,2.0,45.0,7.0,47.0,5.0,73.0,21.0,58.0,6.0,45.0,7.0
wonton_soup,55.0,0.0,59.0,4.0,62.0,7.0,62.0,7.0,66.0,11.0,63.0,8.0,68.0,13.0
xiao_long_bao,31.0,0.0,35.0,4.0,39.0,8.0,35.0,4.0,27.0,4.0,33.0,2.0,54.0,23.0
yakitori,77.0,0.0,74.0,3.0,76.0,1.0,75.0,2.0,102.0,25.0,74.0,3.0,66.0,11.0
