category,from_dish,to_dish,E_reduction_pct,H_change,E_from,E_to,H_from,H_to
Noodle/Rice,bun_bo_hue,risotto,57.85170550257437,0.19899999999999984,0.4268114422342925,0.1798937436216193,6.883,7.082
Noodle/Rice,bun_bo_hue,udon,66.15461329858374,0.05799999999999983,0.4268114422342925,0.1444559831100882,6.883,6.941
Noodle/Rice,bun_bo_hue,arroz_con_pollo,42.467379727869556,0.38964334845542936,0.4268114422342925,0.2455558063386589,6.883,7.272643348455429
Noodle/Rice,bun_bo_hue,jollof_rice,50.00854617287054,0.42556590976520425,0.4268114422342925,0.2133692450734617,6.883,7.308565909765204
Noodle/Rice,bun_bo_hue,laksa,54.72135881411819,0.42155316497145456,0.4268114422342925,0.1932544214695525,6.883,7.304553164971455
Noodle/Rice,bun_bo_hue,nasi_goreng,46.54097380236072,0.493929466630898,0.4268114422342925,0.2281692407185525,6.883,7.376929466630898
Noodle/Rice,bun_bo_hue,tonkotsu_ramen,56.511162342605104,0.2701855368614199,0.4268114422342925,0.1856153352164573,6.883,7.15318553686142
Noodle/Rice,donburi,udon,38.47285885653224,0.8599999999999994,0.2347841626076021,0.1444559831100882,6.081,6.941
Noodle/Rice,japchae,lo_mein,31.30221212569645,-0.8129999999999997,0.2850385521038225,0.1958151798842702,7.318,6.505
Noodle/Rice,japchae,ramen,31.83502102137633,-0.37599999999999945,0.2850385521038225,0.1942964691225439,7.318,6.942
Noodle/Rice,japchae,risotto,36.8879254073341,-0.23599999999999977,0.2850385521038225,0.1798937436216193,7.318,7.082
Noodle/Rice,japchae,udon,49.320545573964495,-0.3769999999999998,0.2850385521038225,0.1444559831100882,7.318,6.941
Noodle/Rice,japchae,laksa,32.200602324431735,-0.013446835028545046,0.2850385521038225,0.1932544214695525,7.318,7.304553164971455
Noodle/Rice,japchae,tonkotsu_ramen,34.88062093830426,-0.16481446313857973,0.2850385521038225,0.1856153352164573,7.318,7.15318553686142
Noodle/Rice,pad_see_ew,udon,39.6054367090269,0.05400000000000027,0.2391870645940731,0.1444559831100882,6.887,6.941
Noodle/Rice,pad_thai,udon,39.58231753840491,0.1639999999999997,0.2390955383002528,0.1444559831100882,6.777,6.941
Noodle/Rice,paella,risotto,30.168088118212932,-0.028999999999999915,0.2576096497632017,0.1798937436216193,7.111,7.082
Noodle/Rice,paella,udon,43.92446740916961,-0.16999999999999993,0.2576096497632017,0.1444559831100882,7.111,6.941
Noodle/Rice,pasta_bolognese,donburi,39.35215710424112,-0.9769999999999994,0.3871269799507092,0.2347841626076021,7.058,6.081
Noodle/Rice,pasta_bolognese,fried_rice,47.040945374055866,-0.3979999999999997,0.3871269799507092,0.2050187887838639,7.058,6.66
Noodle/Rice,pasta_bolognese,lo_mein,49.41835882655291,-0.5529999999999999,0.3871269799507092,0.1958151798842702,7.058,6.505
Noodle/Rice,pasta_bolognese,pad_see_ew,38.21482950515939,-0.17100000000000026,0.3871269799507092,0.2391870645940731,7.058,6.887
Noodle/Rice,pasta_bolognese,pad_thai,38.23847195287305,-0.2809999999999997,0.3871269799507092,0.2390955383002528,7.058,6.777
Noodle/Rice,pasta_bolognese,paella,33.456033006017364,0.052999999999999936,0.3871269799507092,0.2576096497632017,7.058,7.111
Noodle/Rice,pasta_bolognese,pasta_carbonara,46.94756310700175,0.05799999999999983,0.3871269799507092,0.20538029673412,7.058,7.116
Noodle/Rice,pasta_bolognese,ramen,49.81066182799179,-0.11599999999999966,0.3871269799507092,0.1942964691225439,7.058,6.942
Noodle/Rice,pasta_bolognese,risotto,53.53107560611657,0.02400000000000002,0.3871269799507092,0.1798937436216193,7.058,7.082
Noodle/Rice,pasta_bolognese,udon,62.685116101057844,-0.11699999999999999,0.3871269799507092,0.1444559831100882,7.058,6.941
Noodle/Rice,pasta_bolognese,arroz_con_pollo,36.569699593160834,0.21464334845542954,0.3871269799507092,0.2455558063386589,7.058,7.272643348455429
Noodle/Rice,pasta_bolognese,jollof_rice,44.88391248250668,0.25056590976520443,0.3871269799507092,0.2133692450734617,7.058,7.308565909765204
Noodle/Rice,pasta_bolognese,laksa,50.07983646756975,0.24655316497145474,0.3871269799507092,0.1932544214695525,7.058,7.304553164971455
Noodle/Rice,pasta_bolognese,nasi_goreng,41.060878591411004,0.31892946663089816,0.3871269799507092,0.2281692407185525,7.058,7.376929466630898
Noodle/Rice,pasta_bolognese,tonkotsu_ramen,52.053113105139126,0.09518553686142006,0.3871269799507092,0.1856153352164573,7.058,7.15318553686142
Noodle/Rice,pho,donburi,40.56140861606507,-0.8929999999999998,0.395002904915845,0.2347841626076021,6.974,6.081
Noodle/Rice,pho,fried_rice,48.09689087538661,-0.31400000000000006,0.395002904915845,0.2050187887838639,6.974,6.66
Noodle/Rice,pho,lo_mein,50.42690130950089,-0.4690000000000003,0.395002904915845,0.1958151798842702,6.974,6.505
Noodle/Rice,pho,pad_see_ew,39.44675808269519,-0.08700000000000063,0.395002904915845,0.2391870645940731,6.974,6.887
Noodle/Rice,pho,pad_thai,39.469929125915705,-0.19700000000000006,0.395002904915845,0.2390955383002528,6.974,6.777
Noodle/Rice,pho,paella,34.78284676967497,0.13699999999999957,0.395002904915845,0.2576096497632017,6.974,7.111
Noodle/Rice,pho,pasta_carbonara,48.005370548382146,0.14199999999999946,0.395002904915845,0.20538029673412,6.974,7.116
Noodle/Rice,pho,ramen,50.81138221909063,-0.03200000000000003,0.395002904915845,0.1942964691225439,6.974,6.942
Noodle/Rice,pho,risotto,54.45761502438937,0.10799999999999965,0.395002904915845,0.1798937436216193,6.974,7.082
Noodle/Rice,pho,udon,63.42913398551728,-0.03300000000000036,0.395002904915845,0.1444559831100882,6.974,6.941
Noodle/Rice,pho,arroz_con_pollo,37.834430257930805,0.29864334845542917,0.395002904915845,0.2455558063386589,6.974,7.272643348455429
Noodle/Rice,pho,jollof_rice,45.982866855391904,0.33456590976520406,0.395002904915845,0.2133692450734617,6.974,7.308565909765204
Noodle/Rice,pho,laksa,51.07518981139514,0.33055316497145437,0.395002904915845,0.1932544214695525,6.974,7.304553164971455
Noodle/Rice,pho,nasi_goreng,42.236060069693984,0.4029294666308978,0.395002904915845,0.2281692407185525,6.974,7.376929466630898
Noodle/Rice,pho,tonkotsu_ramen,53.00912147570093,0.1791855368614197,0.395002904915845,0.1856153352164573,6.974,7.15318553686142
Noodle/Rice,arroz_con_pollo,udon,41.171831664667955,-0.33164334845542953,0.2455558063386589,0.1444559831100882,7.272643348455429,6.941
Noodle/Rice,gyudon,donburi,42.18383353374913,-0.9294740324020383,0.4060873920872168,0.2347841626076021,7.010474032402039,6.081
Noodle/Rice,gyudon,fried_rice,49.513628647739125,-0.35047403240203856,0.4060873920872168,0.2050187887838639,7.010474032402039,6.66
Noodle/Rice,gyudon,lo_mein,51.78003954325814,-0.5054740324020388,0.4060873920872168,0.1958151798842702,7.010474032402039,6.505
Noodle/Rice,gyudon,pad_see_ew,41.099608297442025,-0.12347403240203914,0.4060873920872168,0.2391870645940731,7.010474032402039,6.887
Noodle/Rice,gyudon,pad_thai,41.12214686810532,-0.23347403240203857,0.4060873920872168,0.2390955383002528,7.010474032402039,6.777
Noodle/Rice,gyudon,paella,36.56300225448172,0.10052596759796106,0.4060873920872168,0.2576096497632017,7.010474032402039,7.111
Noodle/Rice,gyudon,pasta_carbonara,49.424606442839334,0.10552596759796096,0.4060873920872168,0.20538029673412,7.010474032402039,7.116
Noodle/Rice,gyudon,ramen,52.15402573227041,-0.06847403240203853,0.4060873920872168,0.1942964691225439,7.010474032402039,6.942
Noodle/Rice,gyudon,risotto,55.70073163389843,0.07152596759796115,0.4060873920872168,0.1798937436216193,7.010474032402039,7.082
Noodle/Rice,gyudon,udon,64.42736565456755,-0.06947403240203887,0.4060873920872168,0.1444559831100882,7.010474032402039,6.941
