from_dish,to_dish,category,E_reduction_pct,H_change,from_protein_g,to_protein_g,from_cal,to_cal,protein_ratio
cornbread,pierogi,Starch/Carb,39.83103152802294,3.6107000000000005,12.5,19.455,495.35,662.05,1.5563999999999998
korean_fried_chicken,tikka_masala,Poultry Main,39.80256300435675,1.8887999999999998,65.83999999999999,57.232000000000006,1102.2,723.7900000000001,0.8692588092345082
suya,pho,Red Meat Main,39.77155310666205,-0.17099999999999937,61.16,33.29,794.7,830.05,0.5443100065402224
eggplant_parm,wonton_soup,Mixed/Other,39.767045666741105,-0.7330000000000005,23.82,33.800000000000004,607.5,408.72,1.4189756507136861
patatas_bravas,crepe,Mixed/Other,39.68282588645787,2.4868000000000006,5.59,15.735,554.35,497.15,2.8148479427549193
pot_roast,hamburger,Red Meat Main,39.64792883537429,0.6288999999999998,67.39999999999999,51.365,719.0,649.15,0.7620919881305639
manakish,scallion_pancake,Starch/Carb,39.61622830023367,1.0151999999999992,17.5,10.44,617.5,601.0,0.5965714285714285
french_fries,gnocchi,Mixed/Other,39.59591290064054,4.5262,4.0,21.075,419.2,601.2499999999999,5.26875
pizza,laksa,Starch/Carb,39.57169930948049,0.5117000000000003,38.18000000000001,23.58,996.0,872.5500000000001,0.6176008381351491
meatloaf,bun_bo_hue,Red Meat Main,39.55546017610968,3.0494000000000003,59.97,47.42,681.1,962.9,0.7907286976821745
lumpia,wonton_soup,Mixed/Other,39.482002134562485,1.3560999999999996,21.08,33.800000000000004,574.1999999999999,408.72,1.6034155597722963
pastelitos,tonkotsu_ramen,Starch/Carb,39.45262606480124,1.6364999999999998,29.38,44.855,782.2,769.9000000000001,1.526718856364874
focaccia,kimbap,Starch/Carb,39.45049599407863,4.726500000000001,12.0,16.53,613.6,372.9,1.3775000000000002
sweet_and_sour,currywurst,Pork Main,39.4481652619019,3.6864,48.7,29.32,982.3,562.9,0.602053388090349
duck_confit,korma,Poultry Main,39.43080657693635,1.145999999999999,48.32,59.84200000000001,849.95,658.94,1.238451986754967
guacamole,fattoush,Salad/Cold,39.41961346378529,0.2279,4.025,3.56,266.00999999999993,219.0,0.8844720496894409
buffalo_wings,mole,Poultry Main,39.406168545957456,1.7769000000000004,62.02,58.08,877.2,673.8,0.9364721057723314
patatas_bravas,wonton_soup,Mixed/Other,39.26220557727077,-0.6996000000000002,5.59,33.800000000000004,554.35,408.72,6.046511627906978
schnitzel,vindaloo,Pork Main,39.260999288374684,0.16439999999999966,63.080000000000005,58.352,1032.8,718.89,0.9250475586556752
meatloaf,kebab,Red Meat Main,39.2561755958282,3.1592000000000002,59.97,52.034,681.1,712.8499999999999,0.8676671669167917
general_tso,nasi_padang,Poultry Main,39.22188203083935,1.9390999999999998,56.38500000000001,38.000000000000014,946.6,624.1500000000001,0.673938104105702
fried_chicken,pad_see_ew,Poultry Main,39.22001394290134,2.9760999999999997,67.738,37.475,1048.02,937.45,0.5532345212436152
karaage,jollof_rice,Poultry Main,39.176342324761265,4.203500000000001,52.00500000000001,31.370000000000005,812.2,655.0500000000001,0.603211229689453
chile_relleno,ravioli,Mixed/Other,39.15983198121465,-0.8380999999999998,23.89,31.24,594.3,719.5,1.3076601088321473
churrasco,beef_tartare,Red Meat Main,39.138322902955494,1.5591,65.32,51.155,720.85,593.3,0.783144519289651
buffalo_wings,satay,Poultry Main,39.13730438766023,3.8676000000000004,62.02,45.294,877.2,544.34,0.7303128023218316
pita,injera,Starch/Carb,39.12597002397799,1.9417,14.0,15.0,548.61,546.0,1.0714285714285714
french_fries,budae_jjigae,Mixed/Other,39.113452704136584,3.8037,4.0,23.87,419.2,452.55,5.9675
buffalo_wings,tikka_masala,Poultry Main,39.10266246358291,3.0633999999999997,62.02,57.232000000000006,877.2,723.7900000000001,0.9227990970654628
croquetas,hot_dog,Mixed/Other,39.07891909831557,1.6067999999999998,23.68,20.275,730.6,415.7,0.8562077702702702
orange_chicken,nasi_padang,Poultry Main,39.03623219077801,5.3128,55.20000000000001,38.000000000000014,942.65,624.1500000000001,0.6884057971014494
poutine,waffle,Mixed/Other,39.00649463561006,2.2986,19.135,17.78,503.35,625.15,0.9291873530180298
arancini,laksa,Starch/Carb,38.98923690005587,0.21640000000000015,16.52,23.58,746.2,872.5500000000001,1.4273607748184018
chile_relleno,tapas,Mixed/Other,38.940705413299845,-0.5073999999999996,23.89,19.76,594.3,486.8999999999999,0.8271243197990792
jokbal,bun_cha,Pork Main,38.924842830775674,0.8702000000000005,69.455,39.245,624.4000000000001,896.3000000000001,0.565042113598733
eggplant_parm,pancake,Mixed/Other,38.8932718379158,-0.7330000000000005,23.82,17.735000000000003,607.5,569.95,0.744542401343409
char_kway_teow,penne_arrabbiata,Starch/Carb,38.87206127625416,0.3641999999999994,28.885,18.236,1044.95,636.49,0.6313311407304829
