dish_id,E_original,E_mc_mean,E_mc_median,E_mc_p5,E_mc_p25,E_mc_p75,E_mc_p95,E_90CI_width,E_relative_uncertainty
butter_chicken,0.2453824918883798,0.18783615037907747,0.1836179707821502,0.1300082783672014,0.1600463908734665,0.21157486729786829,0.25811226459681674,0.12810398622961533,0.6976658422045285
ca_phe_sua_da,0.0363340634140795,0.02035341577593447,0.019032522857985526,0.009408535563731243,0.014405164320045913,0.024740281133759316,0.03584592462585466,0.026437389062123416,1.3890638282370964
caesar_salad,0.0525168062162769,0.032175109697781236,0.03112567535166167,0.017958581915624938,0.025089396122110558,0.037959207717080085,0.05004881559595339,0.03209023368032845,1.030989153416563
caprese,0.1118488797934876,0.07653951606761686,0.0720236805887815,0.03949420466032375,0.056597582674513335,0.0915192902684536,0.12831995926578468,0.08882575460546094,1.233285412232828
ceviche,0.039418546557507,0.02388901473373768,0.020734330645205017,0.0071979552909655865,0.013857467883969804,0.030180526217225563,0.050741707549554024,0.04354375225858844,2.100079959352741
chana_masala,0.1795333304373007,0.13787025885319962,0.13583870790485428,0.09737202786761637,0.1187684701272208,0.1544203532032406,0.18584828676265977,0.0884762588950434,0.651333189631154
char_siu,0.3230840935392318,0.26056415358767754,0.25368410049006207,0.17526139095175497,0.21789963214130684,0.2951360153963322,0.3687742455679412,0.19351285461618623,0.7628103386943124
cheesecake,0.4162269009143125,0.32901294075628096,0.32377761035343977,0.22997670809628737,0.28231755996563734,0.369403548163574,0.44741354165592506,0.2174368335596377,0.6715622903087118
chicken_salad,0.0681619356522414,0.04392480922564084,0.04114053077974211,0.02141010925996483,0.031566445459893046,0.05331475412157782,0.07541704072511211,0.05400693146514728,1.3127427002410157
chicken_sandwich,0.2305453291832126,0.18247442958307442,0.17903711518675092,0.12793378847640222,0.15597209170762086,0.20448548494375546,0.24908836190485992,0.1211545734284577,0.6767008801615418
chile_relleno,0.3181617528849141,0.2602707793607486,0.2553763720712414,0.18407375154477876,0.22334078011941164,0.29225818106429025,0.35475416946624777,0.170680417921469,0.6683485106204536
chow_fun,0.372484261208624,0.2899909916907718,0.2763017227875152,0.18212966843467787,0.23350953705274632,0.3343159999136326,0.4389727422769647,0.25684307384228683,0.9295746376500421
chow_mein,0.19426553805153,0.1525648824011413,0.14991800509963607,0.10937901904384668,0.13169767676551952,0.1709477545478071,0.2053901752762912,0.09601115623244451,0.6404244518104089
churro,0.3234748223106578,0.26469523981066456,0.2604182934502346,0.18878325824619727,0.22878002840538578,0.2959773503071514,0.35560867897338216,0.1668254207271849,0.6406056138259154
churros_spanish,0.3234748223106578,0.2643989795373874,0.25943600516465803,0.1880955992674162,0.22735571436832563,0.2970070547077551,0.3562853487170128,0.16818974944959658,0.648289929313591
clam_chowder,0.1957745939328879,0.15342858167640985,0.1498500824303493,0.10553898828413728,0.1290241987613458,0.17296883529637214,0.2158489925940673,0.11031000430993003,0.7361357599599746
club_sandwich,0.0745333152011155,0.04895488603171699,0.04715182456911285,0.027050351680277918,0.03776825210855805,0.05808439182897206,0.07731617880345745,0.050265827123179535,1.0660420372387145
coleslaw,0.013196413963922,0.0028185778512881403,0.00245772190317945,1e-06,0.0011942134753075994,0.004016882697160492,0.006867113337100043,0.006866113337100043,2.7936900949686967
com_tam,0.2925279261245002,0.23112791509993963,0.22661212410014822,0.16108261964628817,0.19762710088569113,0.26065513281848124,0.31490252099513116,0.153819901348843,0.6787805460967495
congee,0.1429436030199488,0.11182903495415093,0.1097199241848633,0.07933539861787327,0.09602958852269272,0.1255755198490865,0.15179485823932018,0.07245945962144691,0.6604038433289698
coq_au_vin,0.433244547442996,0.3515651442607597,0.3480625560427268,0.2493207098653666,0.30325109850446663,0.396019076347955,0.4671197477988602,0.21779903793349356,0.6257468209443288
cornbread,0.2367189718162237,0.19394898189839874,0.19035313080542776,0.1357476268600482,0.16560057299076916,0.21858242551290605,0.263618756495128,0.1278711296350798,0.6717574283860093
creme_brulee,0.2801526093771747,0.2265495966304974,0.22315319362543268,0.15862111951739805,0.19485889827322808,0.25378173086457734,0.30687953517693206,0.14825841565953402,0.6643795378899613
crepe,0.1703383946222554,0.1353643291478746,0.13304158038729236,0.09595053747333995,0.11651349687714442,0.15158370130132948,0.18287877016309126,0.0869282326897513,0.6533914618023763
