dish_id,n_mentions,H_taste,satiety_mean,satiety_pos_rate,satiety_neg_rate,comfort_rate,occasion_special_rate,occasion_everyday_rate,E_composite,log_E,log_DEI,meal_role,calorie_kcal,protein_g,cuisine,category_recipe,H_satiety,H_composite,H_composite_best,log_DEI_composite,rank_original,rank_composite,rank_shift_composite
ceviche,500,7.3008384318351744,-0.0032232913409782323,0.102,0.108,0.01,0.022,0.014,0.039418546557507,-3.2335188486245943,5.221530173698543,Light Main,205.65,31.475,Mexican,Salad/Cold,1.9105516582898865,1.9105516582898865,5.6837523997715875,4.9711304969978345,8.0,8.0,0.0
chana_masala,500,7.131082696199417,0.14719225993728613,0.12,0.044,0.034,0.008,0.01,0.1795333304373007,-1.7173944034036397,3.681845880449806,Heavy Main,941.89,44.892,Indian,Plant Protein,3.0328806703697024,3.0328806703697024,5.901622088450503,3.492621646774767,54.0,51.0,3.0
char_siu,500,7.016940265178681,0.09101919871716035,0.128,0.084,0.024,0.01,0.008,0.3230840935392318,-1.1298426381304052,3.078178414400557,Full Main,620.9000000000001,56.105,Chinese,Pork Main,2.6137441132190924,2.6137441132190924,5.695981419590804,2.869603550224718,122.0,121.0,1.0
cheesecake,500,7.2683516690731045,0.15434010969075962,0.18,0.088,0.014,0.044,0.006,0.4162269009143125,-0.8765247325262424,2.860005883060168,Heavy Main,1591.8,50.43000000000001,Other,Dessert,3.0862145117453856,3.0862145117453856,6.013710521874788,2.670566681892661,140.0,134.0,6.0
chicken_salad,500,6.953136897325516,0.007741678349406762,0.084,0.072,0.012,0.006,0.006,0.0681619356522414,-2.6858689982105344,4.625042219327415,Light Main,361.25,30.71,Other,Poultry Main,1.9923670257536443,1.9923670257536443,5.464905935853954,4.38421590758733,17.0,17.0,0.0
chicken_sandwich,500,6.743452202796936,0.07405284348322018,0.088,0.056,0.018,0.008,0.008,0.2305453291832126,-1.4673077799872063,3.375812709739652,Full Main,569.9,43.75000000000001,American,Poultry Main,2.4871492728154134,2.4871492728154134,5.466561323802479,3.1659575559274478,85.0,86.0,-1.0
chile_relleno,500,6.785895975828171,0.11481059406938099,0.13,0.072,0.018,0.006,0.012,0.3181617528849141,-1.1451953686532157,3.060057035015254,Full Main,594.3,23.89,Mexican,Mixed/Other,2.791264143659699,2.791264143659699,5.5875064261776295,2.865728478691146,124.0,122.0,2.0
chow_fun,500,7.170736167669296,0.02100398687950957,0.102,0.08,0.028,0.008,0.006,0.372484261208624,-0.9875604938440836,2.957605608744521,Heavy Main,900.95,27.855,Chinese,Starch/Carb,2.0913240385358653,2.0913240385358653,5.646912528929266,2.7186694345846867,131.0,131.0,0.0
chow_mein,500,6.050800094127655,0.020669620024327224,0.078,0.056,0.02,0.008,0.004,0.19426553805153,-1.6385293029641408,3.438752850604325,Heavy Main,856.5500000000001,41.04500000000001,Chinese,Starch/Carb,2.0888291527407468,2.0888291527407468,4.862208811711582,3.2200221256346495,78.0,76.0,2.0
churro,500,7.396128391504288,0.1337939360471196,0.154,0.084,0.014,0.026,0.008,0.3234748223106578,-1.1286339970942594,3.1295733106191377,Heavy Main,1020.55,13.435,Mexican,Dessert,2.932908775925375,2.932908775925375,6.057162506830613,2.9298754543238203,120.0,116.0,4.0
churros_spanish,20,7.322710609436035,-0.12525624974700303,0.2,0.15,0.0,0.05,0.0,0.3234748223106578,-1.1286339970942594,3.119654077173192,Heavy Main,1020.55,13.435,Spanish,Dessert,1.0,1.0,5.425897426605224,2.819817307098726,121.0,124.0,-3.0
clam_chowder,500,6.857696507453919,0.11195619097601382,0.098,0.052,0.028,0.016,0.01,0.1957745939328879,-1.6307913124993088,3.556207166540037,Full Main,595.75,28.985000000000003,American,Soup/Stew,2.7699659509088055,2.7699659509088055,5.631377340490384,3.3591453678017875,65.0,65.0,0.0
club_sandwich,500,6.949709343194962,-0.005376680752498156,0.08,0.066,0.014,0.0,0.014,0.0745333152011155,-2.596509069645958,4.535250729222659,Full Main,592.1999999999999,37.540000000000006,American,Mixed/Other,1.8944840948610011,1.8944840948610011,5.433141768694773,4.289026630873572,19.0,19.0,0.0
coleslaw,500,6.703614482402801,0.10552460657403763,0.124,0.06,0.014,0.002,0.006,0.013196413963922,-4.327810155698477,6.230514518878259,Light Main,279.05,2.61,American,Salad/Cold,2.721976539530562,2.721976539530562,5.509123099541129,6.034215619109334,3.0,3.0,0.0
com_tam,500,6.941465224742889,-0.01944554839967091,0.09,0.09,0.038,0.006,0.006,0.2925279261245002,-1.2291951429376562,3.166640999295103,Full Main,617.7,44.03,Vietnamese,Pork Main,1.7895089231227927,1.7895089231227927,5.39587833425686,2.9148305336340212,114.0,119.0,-5.0
congee,500,6.983513193845749,0.08865747185510577,0.166,0.096,0.068,0.004,0.014,0.1429436030199488,-1.9453051109881232,3.888926929525424,Light Main,221.02,14.31,Chinese,Starch/Carb,2.5961220352267147,2.5961220352267147,5.667295846260037,3.6800171919056153,35.0,35.0,0.0
coq_au_vin,409,7.166124363400242,0.31073750811480116,0.20537897310513448,0.05378973105134474,0.019559902200488997,0.039119804400977995,0.014669926650366748,0.433244547442996,-0.836452935709711,2.805800554592473,Heavy Main,722.8000000000001,73.165,French,Poultry Main,4.253177210571545,4.253177210571545,6.292240217551632,2.6757700984273898,146.0,133.0,13.0
cornbread,500,6.978018912315369,0.1099050677470076,0.106,0.056,0.034,0.014,0.008,0.2367189718162237,-1.4408816143592993,3.3836439571238817,Full Main,495.35,12.5,American,Starch/Carb,2.754661448896206,2.754661448896206,5.71101167328962,3.18327779804092,84.0,80.0,4.0
creme_brulee,500,7.324001138687134,0.09096108030131986,0.166,0.11,0.016,0.044,0.004,0.2801526093771747,-1.272420790799783,3.263577417612048,Heavy Main,759.1199999999999,10.712,French,Dessert,2.613310461354777,2.613310461354777,5.910793935487426,3.049200950841223,102.0,101.0,1.0
crepe,500,7.23927464723587,0.1809725733621129,0.214,0.116,0.018,0.014,0.004,0.1703383946222554,-1.7699682638630123,3.749451339174017,Full Main,497.15,15.735,French,Mixed/Other,3.284933237219623,3.284933237219623,6.052972224230996,3.5705176920012534,48.0,46.0,2.0
croissant,500,7.299064743518829,0.13946896702088551,0.166,0.09,0.008,0.01,0.004,0.2528773599570321,-1.3748506510334464,3.3625880035029416,Heavy Main,807.0,12.05,French,Mixed/Other,2.975253146917481,2.975253146917481,6.001921264538424,3.1669302797613827,87.0,85.0,2.0
dal,500,6.929083550214767,0.10281927249133403,0.136,0.07,0.018,0.004,0.012,0.1513163041255206,-1.888382903745557,3.824098406390801,Full Main,486.74,27.102,Indian,Plant Protein,2.7017906285487276,2.7017906285487276,5.660895673714955,3.6219650296804247,44.0,38.0,6.0
dan_dan_noodles,500,7.242503416776657,0.022645641100881724,0.106,0.074,0.02,0.004,0.012,0.1768632843021446,-1.7323782499394325,3.712413735152621,Heavy Main,918.75,42.065,Chinese,Starch/Carb,2.1035732783570906,2.1035732783570906,5.700824375250786,3.4729890415594062,50.0,53.0,-3.0
dim_sum,500,6.977454904556274,0.012678269655689066,0.106,0.092,0.044,0.006,0.016,0.1486246479702183,-1.906331292551165,3.848950317508264,Full Main,415.9,33.730000000000004,Chinese,Mixed/Other,2.0292015125918565,2.0292015125918565,5.492978886966949,3.6098020032790927,40.0,42.0,-2.0
