dish_id,functional_category,H_mean,E_composite,is_pareto,log_DEI
kimbap,Other,7.307,0.1364470620417334,False,3.980651356259415
mapo_tofu,Other,6.879,0.2133064982371322,False,3.473498481266013
minestrone,Other,6.638,0.1196048159520431,False,4.016372884416538
moussaka,Other,7.124,0.5167985075858745,False,2.62357157974356
okonomiyaki,Other,7.216,0.1942506282035568,False,3.614906838504788
onigiri,Other,7.085,0.0556931760085771,False,4.845877526007914
palak_paneer,Other,7.231,0.2075051881169707,False,3.550976275843415
paneer_tikka,Other,7.1,0.2850173554547919,False,3.2152999882822595
patatas_bravas,Other,7.31,0.2824044679241891,False,3.253658225988599
penne_arrabbiata,Other,7.216,0.1413938119152791,False,3.932507072213009
pizza,Other,6.838,0.3198078040607087,False,3.0625303671555866
pizza_margherita,Other,7.126,0.2942943620278918,False,3.186924848337543
quiche,Other,7.306,0.3547504593313247,False,3.0250365965130257
ratatouille,Other,7.242,0.1346233349410699,False,3.985171923051277
ravioli,Other,7.222,0.1935701450266944,False,3.619247248459304
satay,Other,7.066,0.2351079257839079,False,3.403005160546983
scallion_pancake,Other,6.964,0.145579254449721,False,3.867788658452179
soup,Other,6.733,0.1268497208512982,False,3.971773003122844
spanakopita,Other,7.365,0.2741309781639822,False,3.2908883142287317
sundubu_jjigae,Other,7.119,0.1660415503417002,False,3.7582844848047112
takoyaki,Other,7.144,0.1512882831212846,False,3.854840946127024
tamale,Other,7.247,0.1372645889738489,False,3.966432499477112
tandoori_chicken,Other,7.061,0.2790571517430138,False,3.230925357715805
tapas,Other,7.397,0.1942673219562087,False,3.639594632796097
tikka_masala,Other,7.079,0.2352417448800396,False,3.4042742467637623
tteokbokki,Other,6.906,0.1505269670921717,False,3.826003626475735
udon,Other,6.941,0.1444559831100882,False,3.872226289346816
wonton_soup,Other,6.753,0.1715262451683963,False,3.673005841625337
yakitori,Other,6.842,0.2192980503856408,False,3.440403600323582
beef_bourguignon,Protein Main,7.344,0.8163411367437777,False,2.196806604963821
brisket,Protein Main,7.046,0.9792094431862688,False,1.9734698034127955
buffalo_wings,Protein Main,6.761,0.386292331318037,False,2.8623316692384835
bulgogi,Protein Main,7.375,0.6615588732726678,True,2.4112522019569065
butter_chicken,Protein Main,7.297,0.2453824918883798,False,3.392400399232125
ceviche,Protein Main,7.301,0.039418546557507,True,5.221530173698543
char_siu,Protein Main,7.017,0.3230840935392318,False,3.078178414400557
coq_au_vin,Protein Main,7.166,0.433244547442996,False,2.805800554592473
falafel,Protein Main,7.341,0.3067878357769481,True,3.175073932109877
fish_and_chips,Protein Main,6.801,0.3253698736066217,False,3.039862331323876
fried_chicken,Protein Main,7.048,0.393529317972158,False,2.885343596886804
general_tso,Protein Main,6.649,0.3714217975765348,False,2.884883408908441
