dish_id,point_rank,rank_5pct,rank_95pct,rank_iqr
bob_chorba,334,98,1285,545
paleta,335,84,1276,581
zosui,336,84,1236,554
tofu_skin,337,96,1234,526
seenakku,338,77,1251,533
ulava_charu,339,86,1278,583
tong_sui,340,83,1206,519
lemang,341,84,1320,576
takoyaki,342,91,1247,551
puto,343,101,1335,568
bahon,344,96,1293,570
bnh_cun,345,95,1332,572
coconut_drop,346,89,1263,557
nargesi,347,107,1292,572
ham_salad,348,94,1294,566
zongzi,349,79,1273,585
bubur_kacang_hijau,350,93,1271,563
caviar,351,105,1241,523
khauk_sw_thoke,352,106,1315,561
danbing,353,87,1285,540
khao_kan_chin,354,95,1289,552
tufahije,355,86,1255,558
aremarem,356,84,1254,561
nigirizushi,357,87,1264,566
lecs,358,95,1249,544
karukan,359,93,1285,556
kheer,360,101,1284,559
paila_marina,361,85,1275,544
caldillo_de_perro,362,103,1304,591
kashk_bademjan,363,97,1298,561
bubur_ayam,364,94,1299,579
akashiyaki,365,98,1320,538
arroz_a_la_tumbada,366,90,1290,557
okowa,367,91,1280,568
dilly_beans,368,94,1287,533
chapati,369,102,1304,568
zni,370,110,1302,594
nicuatole,371,97,1322,617
aloo_paratha,372,100,1307,573
caldo_verde,373,89,1290,601
egg_salad,374,93,1316,587
pie_tee,375,115,1323,582
bubur_ketan_hitam,376,93,1354,568
asinan,377,89,1373,598
kwati,378,110,1327,557
ukha,379,103,1285,542
tonkotsu_ramen,380,103,1307,590
ginataang_mais,381,87,1323,601
song_gao,382,106,1325,574
totopo,383,107,1296,585
nurungji,384,99,1322,579
kongbap,385,104,1344,553
candied_carrots,386,83,1348,583
sayur_lodeh,387,93,1361,588
muroran_curry_ramen,388,91,1382,596
porra_antequerana,389,100,1325,610
fruit_hat,390,112,1361,577
salted_duck_egg,391,94,1325,588
paratha,392,91,1322,578
pickled_egg,393,102,1336,575
bnh_bao,394,81,1379,614
paccheri,395,93,1334,577
ch_la,396,105,1356,612
udon,397,112,1371,566
masala_omelette,398,99,1360,571
roti_canai,399,102,1344,628
grahova_pretepena_juha,400,83,1344,583
south_asian_pickle,401,113,1347,574
dhebra,402,103,1342,566
tensoba,403,83,1344,581
kue_lapis,404,120,1306,567
tomato_omelette,405,75,1375,660
egg_bhurji,406,86,1357,617
perico,407,88,1326,556
century_egg,408,105,1366,564
lahoh,409,96,1307,567
konpeit,410,99,1325,586
bouneschlupp,411,113,1390,612
bionico,412,95,1308,583
pootharekulu,413,111,1358,575
sekoteng,414,94,1334,571
huevos_rancheros,415,92,1357,593
imagawayaki,416,97,1372,583
rice_pudding,417,107,1301,576
larb,418,105,1348,589
sabich,419,132,1369,592
aloo_mutter,420,114,1362,598
nopalito,421,108,1357,591
fried_egg,422,109,1370,576
olivier_salad,423,106,1357,597
kupat_tahu,424,95,1334,605
sancocho,425,114,1383,580
varenye,426,109,1333,605
telur_gulung,427,106,1367,578
htamin_jin,428,101,1380,604
moron,429,112,1352,597
kraft_dinner,430,86,1346,605
mirza_ghassemi,431,97,1343,605
dampfnudel,432,98,1378,629
fish_tacos,433,115,1319,584
da_bao,434,114,1329,600
douzhi,435,107,1385,613
chana_masala,436,97,1395,632
lobio,437,105,1410,611
kisra,438,100,1378,579
piperade,439,98,1384,571
lemper,440,92,1345,586
ant_egg_soup,441,97,1386,604
malsouka,442,88,1375,612
chitranna,443,93,1364,608
biko,444,99,1333,602
roti_tissue,445,112,1353,549
creamed_eggs_on_toast,446,122,1379,596
bnh_m,447,93,1328,603
bokkeumbap,448,97,1349,614
bein_mont,449,98,1360,619
escamol,450,126,1374,611
bnh_b,451,107,1370,631
tapioca_pudding,452,117,1407,632
phirni,453,101,1376,617
grilled_cheese,454,103,1378,598
chongyang_cake,455,106,1391,636
chitose_ame,456,123,1407,578
butajiru,457,111,1390,595
balila,458,111,1384,617
pulihora,459,103,1378,612
pus,460,103,1396,596
mollete,461,118,1393,563
nasi_tim,462,105,1372,609
onsen_tamago,463,102,1382,616
gi_cun,464,102,1421,635
lontong,465,101,1380,611
french_toast,466,85,1370,605
carrot_salad,467,106,1417,627
boiled_peanuts,468,115,1368,634
gionb,469,98,1418,641
pongal,470,119,1406,599
dhindo,471,108,1333,620
succotash,472,107,1417,618
bap,473,110,1378,616
alloco,474,79,1371,648
mercimek_kftesi,475,79,1419,607
lentil_soup,476,128,1396,605
kitcha,477,113,1427,629
fios_de_ovos,478,104,1380,559
butter_chicken,479,91,1373,592
treacle_sponge_pudding,480,109,1399,610
kogel_mogel,481,102,1393,609
bing,482,92,1378,605
liangfen,483,114,1431,611
oyster_omelette,484,119,1432,595
hwajeon,485,104,1381,610
doenjang_jjigae,486,115,1436,598
potato_pancake,487,109,1422,601
red_bean_rice,488,106,1373,601
malay_sponge_cake,489,83,1411,641
ogi,490,114,1440,625
ekwang,491,110,1409,603
zarda,492,97,1430,632
mont_lin_maya,493,95,1419,635
khichdi,494,95,1389,631
cabinet_pudding,495,103,1390,649
ketupat,496,100,1424,616
manjar_blanco,497,140,1444,643
mushy_peas,498,120,1443,613
aguachile,499,92,1459,628
concoction_rice,500,98,1425,659
aa_na_tigela,501,127,1430,666
mache,502,99,1417,629
chakalaka,503,116,1441,632
menemen,504,107,1392,599
rice_krispies,505,113,1431,649
doodhpak,506,106,1432,564
achu,507,114,1435,607
gyeranmari,508,112,1434,615
akki_rotti,509,106,1463,609
beijinho,510,98,1437,652
badrijani,511,129,1405,585
asida,512,105,1428,613
tostilocos,513,117,1402,653
tlacoyo,514,133,1412,606
luosifen,515,125,1425,586
ogbono_soup,516,109,1422,662
cifantuan,517,94,1378,622
ginataang_munggo,518,109,1439,664
figgy_pudding,519,123,1430,620
penang_hokkien_mee,520,107,1447,631
sinigang,521,105,1456,653
arroz_con_maiz,522,86,1432,638
ham_and_egg_bun,523,107,1463,649
fugu_chiri,524,103,1457,660
papodeanjo,525,106,1432,657
rice_and_peas,526,110,1472,579
crappit_heid,527,120,1428,659
nasi_jinggo,528,115,1459,585
ragda_pattice,529,112,1439,639
tortang_talong,530,100,1448,647
sagamite,531,129,1411,603
uttapam,532,105,1444,657
entomatada,533,112,1496,637
panagyurishtestyle_eggs,534,125,1485,643
pearl_meatballs,535,111,1454,630
amanatt,536,100,1443,637
egg_in_the_basket,537,119,1463,613
caldo_galego,538,133,1440,602
creme_de_papaya,539,116,1455,621
caldo_de_queso,540,114,1441,684
dim_sum_items,541,119,1501,641
waakye,542,108,1449,650
nasi_ulam,543,111,1460,651
yusheng,544,117,1465,678
korma,545,119,1417,660
nasi_lemak,546,84,1488,658
kuning,547,114,1460,637
binignit,548,108,1498,668
apio,549,124,1455,598
crpes_suzette,550,121,1457,628
fio_fio,551,120,1490,626
kinema,552,107,1496,614
sinangag,553,105,1437,649
poffertjes,554,114,1450,655
paper_wrapped_cake,555,113,1480,646
fricasse,556,124,1503,663
ulmyeon,557,121,1427,627
saimin,558,122,1474,656
laobing,559,100,1468,663
tube_rice_pudding,560,92,1452,634
kiping,561,107,1488,671
palak_paneer,562,134,1463,612
lablabi,563,106,1490,664
tootsie_roll,564,85,1508,693
mango_pudding,565,110,1529,643
seri_muka,566,113,1468,656
githeri,567,106,1475,641
nasi_liwet,568,108,1504,711
lutefisk,569,116,1481,671
appam,570,133,1485,628
dressed_herring,571,116,1499,660
balep_korkun,572,129,1471,642
laping,573,101,1492,689
spanish_omelette,574,89,1504,652
tortillitas_de_camarones,575,125,1454,608
kasha,576,121,1474,674
bindaetteok,577,124,1482,676
chicken_salad,578,109,1482,632
rassolnik,579,123,1434,644
pav,580,111,1500,649
cm_tm,581,117,1523,679
rice_and_curry,582,126,1493,659
makdous,583,127,1499,642
diri_djondjon,584,106,1499,673
bean_salad,585,94,1467,650
panucho,586,101,1549,663
m_qung,587,117,1551,641
nacatamal,588,103,1483,682
pajeon,589,126,1496,661
koshary,590,141,1490,655
tapas,591,130,1477,603
parotta,592,103,1484,661
torricado,593,149,1486,633
taho,594,134,1471,685
sabaayad,595,137,1499,669
tuna_bun,596,110,1502,685
kyay_oh,597,100,1519,675
jeon,598,156,1535,652
jatguksu,599,135,1516,655
scotch_woodcock,600,143,1504,658
soto_klethuk,601,118,1491,653
eggs_benedict,602,89,1466,642
shir_berenj,603,122,1531,664
paanga_brei,604,118,1519,672
crossingthebridge_noodles,605,124,1503,691
ravioli,606,110,1517,654
sholezard,607,93,1513,676
makguksu,608,118,1553,680
champurrado,609,100,1527,689
egg_drop_soup,610,101,1477,655
msemmen,611,140,1506,649
dorayaki,612,135,1555,650
pancit,613,132,1450,652
funing_big_cake,614,147,1555,678
yudoufu,615,126,1498,624
burmese_fried_rice,616,105,1491,640
higashi,617,119,1536,678
milmyeon,618,116,1512,678
crumpet,619,123,1514,693
meghli,620,109,1524,698
egg_foo_young,621,111,1548,684
chee_cheong_fun,622,128,1521,646
eggah,623,97,1534,656
piyaz,624,102,1533,702
spotted_dick,625,120,1519,662
tteokbokki,626,120,1505,663
hiyayakko,627,101,1529,697
oshizushi,628,125,1509,669
arroz_poblano,629,133,1529,637
egg_butter,630,151,1527,650
mapo_tofu,631,110,1543,691
brigadeiro,632,98,1534,658
spanish_rice,633,134,1563,656
mariamole,634,112,1541,662
banmian,635,121,1530,673
pancit_bihon,636,96,1487,670
pancit_malabon,637,143,1503,661
bento,638,114,1522,651
casunziei,639,147,1551,669
zoque,640,119,1534,706
kya_zan_hinga,641,109,1550,681
serabi,642,132,1566,686
sandige,643,154,1514,673
ham_and_eggs,644,113,1502,672
passion_fruit_mousse,645,133,1550,702
pea_soup,646,155,1570,625
kedgeree,647,142,1546,698
bnh_l,648,112,1533,694
harira,649,129,1569,695
arroz_de_lisa,650,138,1504,646
tekkadon,651,123,1573,670
molagoottal,652,105,1549,694
chongqing_noodles,653,117,1546,691
thingyan_rice,654,132,1582,703
juk,655,101,1566,687
teiglach,656,108,1544,693
tamagoyaki,657,142,1597,704
jollof_rice,658,124,1537,674
mechouia_salad,659,118,1539,709
guryev_porridge,660,110,1570,743
moro_de_guandules,661,114,1596,698
chipsi_mayai,662,104,1520,707
mcver,663,107,1554,697
arroz_con_pollo,664,120,1619,710
kateh,665,96,1543,698
okazu,666,132,1564,685
htaman,667,144,1582,697
pupusa,668,120,1541,674
pizza_margherita,669,111,1558,683
chow_mein,670,129,1527,697
lakso,671,135,1531,695
palatschinke,672,131,1564,674
unadon,673,115,1638,728
tahdig,674,119,1562,711
prawn_roll,675,111,1580,675
fritaja,676,147,1587,684
horchata,677,152,1574,683
red_caviar,678,139,1586,704
matbucha,679,121,1589,690
hangtown_fry,680,141,1575,677
rosette,681,123,1560,686
warak_enab,682,125,1576,711
bagoong_fried_rice,683,134,1585,691
quesadilla,684,149,1586,687
ofada_rice,685,148,1566,683
tahu_gejrot,686,137,1564,656
unnakai,687,125,1583,750
moros_y_cristianos,688,148,1614,729
honey_bun,689,147,1599,705
aletria,690,116,1575,703
stuffed_racuchy,691,121,1575,716
mie_kering,692,140,1613,711
spaetzle,693,124,1553,712
tokushima_ramen,694,132,1586,678
inarizushi,695,126,1633,698
french_onion_soup,696,135,1651,718
blini,697,118,1559,693
pinipig,698,152,1578,679
yakimochi,699,133,1570,720
pidan_doufu,700,108,1575,689
silog,701,142,1632,698
purtumute,702,134,1556,692
tortelloni,703,149,1621,701
ham_sandwich,704,137,1567,700
bun_rieu,705,154,1606,709
ch,706,118,1595,712
