category,from_dish,to_dish,from_E,to_E,E_reduction_pct,E_ratio,from_H,to_H,H_change,from_cuisine,to_cuisine,sub_score
Wrapped/Stuffed,coxinha,kimbap,0.3252279436113923,0.1364470620417334,58.04571386867945,2.383546693822684,7.36263070865111,7.307,-0.055630708651109195,South American,Korean,2.25094830214232
Wrapped/Stuffed,coxinha,onigiri,0.3252279436113923,0.0556931760085771,82.87564857122989,5.839637221646421,7.36263070865111,7.085,-0.2776307086511096,South American,Japanese,4.218374601535328
Wrapped/Stuffed,coxinha,quesadilla,0.3252279436113923,0.2259953170821839,30.511716006721514,1.4390915166313918,7.36263070865111,6.777,-0.5856307086511094,South American,Mexican,0.59631533193275
Wrapped/Stuffed,coxinha,sushi,0.3252279436113923,0.0640243446175479,80.31400872058853,5.0797543583484535,7.36263070865111,6.974,-0.3886307086511094,South American,Japanese,3.1056058222899328
Wrapped/Stuffed,coxinha,takoyaki,0.3252279436113923,0.1512882831212846,53.48238486479635,2.1497232759966214,7.36263070865111,7.144,-0.21863070865110945,South American,Japanese,1.6797277527616956
Wrapped/Stuffed,coxinha,tamale,0.3252279436113923,0.1372645889738489,57.79434342275849,2.3693506536733477,7.36263070865111,7.247,-0.11563070865110969,South American,Mexican,2.0953809585461287
Wrapped/Stuffed,coxinha,xiao_long_bao,0.3252279436113923,0.1355547936033021,58.320065582902814,2.399236020846036,7.36263070865111,7.102,-0.26063070865110927,South American,Chinese,1.7739214365116662
Wrapped/Stuffed,coxinha,arepa,0.3252279436113923,0.1550682589430726,52.32013054562118,2.0973211786093975,7.36263070865111,7.62740522146225,0.2647745128111403,South American,South American,2.652638371884187
Wrapped/Stuffed,coxinha,banh_xeo,0.3252279436113923,0.1938191426312755,40.40513847639558,1.677997019263009,7.36263070865111,7.15713390524202,-0.2054968034090896,South American,Vietnamese,1.3331739956744801
Wrapped/Stuffed,coxinha,char_siu_bao,0.3252279436113923,0.1231648026379331,62.12969855225601,2.640591602841788,7.36263070865111,7.066637585401535,-0.2959931232495743,South American,Chinese,1.8589946470900478
Wrapped/Stuffed,coxinha,cubano_sandwich,0.3252279436113923,0.2115503017405358,34.95322099588325,1.5373551393478082,7.36263070865111,7.529457939863205,0.1668272312120953,South American,Caribbean,1.793827840634888
Wrapped/Stuffed,coxinha,dim_sum_items,0.3252279436113923,0.1454589858508505,55.27475768667153,2.2358738561870064,7.36263070865111,6.851997286319732,-0.5106334223313773,South American,Chinese,1.0941619371009816
Wrapped/Stuffed,coxinha,galette,0.3252279436113923,0.1892821171027535,41.800167906567545,1.7182180154654514,7.36263070865111,7.647886563945749,0.2852558552946398,South American,French,2.2083497650497073
Wrapped/Stuffed,coxinha,gozleme,0.3252279436113923,0.1698328688860818,47.780357677687334,1.91498822191801,7.36263070865111,7.829094552993775,0.4664638443426652,South American,Turkish,2.80826098978481
Wrapped/Stuffed,coxinha,hot_dog,0.3252279436113923,0.186911584136972,42.5290514518923,1.7400095618100357,7.36263070865111,7.057903029918671,-0.3047276787324389,South American,American,1.2097804870674154
Wrapped/Stuffed,coxinha,manty,0.3252279436113923,0.2208545689303118,32.092376049271444,1.4725887048051713,7.36263070865111,7.4271144175985055,0.06448370894739597,South American,Central Asian,1.567546686245051
