dish_id,cuisine,H_original_mean,H_controlled_mean,E_composite,log_DEI,log_DEI_controlled,rank_original,rank_controlled,rank_shift,n_mentions
nachos,Mexican,6.8230120642185215,6.982040489367787,0.2693445432591771,3.232063146816772,3.2551050967569033,106.0,101.0,-5,500
creme_brulee,French,7.324001138687134,7.252555802594654,0.2801526093771747,3.263577417612048,3.25377472204002,102.0,102.0,0,500
baklava,Mediterranean,7.480218629837037,7.266792764656884,0.28131109410514,3.280526917554556,3.251609159478977,100.0,103.0,3,500
samgyeopsal,Korean,7.223038626670838,7.091206519528977,0.274564609930532,3.2698390516440545,3.251424170648675,101.0,104.0,3,500
french_onion_soup,French,7.064659948348999,7.152228108345939,0.2794902450794066,3.229940904458455,3.242211820028235,108.0,105.0,-3,500
patatas_bravas,Spanish,7.309500757932663,7.169178987645142,0.2824044679241891,3.253658225988599,3.234206093677477,104.0,106.0,2,500
burrito,Mexican,6.82708843255043,7.011227479317662,0.276301431930006,3.207148202983316,3.2337756543043574,111.0,107.0,-4,500
tandoori_chicken,Indian,7.061005901098252,7.040034352314273,0.2790571517430138,3.230925357715805,3.2279517229297374,107.0,108.0,1,500
japchae,Korean,7.317705533981323,7.155074348836084,0.2850385521038225,3.245467903919008,3.2229526414484786,105.0,109.0,4,500
paneer_tikka,Indian,7.10038446187973,6.978086263988208,0.2850173554547919,3.2152999882822595,3.1979799092029255,110.0,110.0,0,500
pizza_margherita,Italian,7.12551219201088,7.146411880629139,0.2942943620278918,3.186924848337543,3.189785177021507,112.0,111.0,-1,500
spring_rolls,Chinese,6.8453974871635435,6.986371810536766,0.2903988081034614,3.1600185591072547,3.180461467570667,116.0,112.0,-4,500
souffle,French,7.419460524082184,7.1490659928771025,0.2974611158696626,3.2165160427053348,3.179453483304134,109.0,113.0,4,500
com_tam,Vietnamese,6.941465224742889,6.948833201051367,0.2925279261245002,3.166640999295103,3.1677689036793257,114.0,114.0,0,500
teriyaki,Japanese,6.712053010463714,6.890512622734255,0.2907920050126571,3.139043995944516,3.1652925100149574,119.0,115.0,-4,500
enchilada,Mexican,6.829557194948197,6.952426751940473,0.2953211986902908,3.141016379428124,3.1587824774165165,118.0,116.0,-2,500
falafel,Mediterranean,7.341277606010437,7.163499033103429,0.3067878357769481,3.175073932109877,3.1505974123570732,113.0,117.0,4,500
mac_and_cheese,American,6.986111844539642,6.989196151635494,0.3013898684318615,3.143258754763064,3.143716158245139,117.0,118.0,1,500
shawarma,Mediterranean,7.1584102356433865,6.9893185055986455,0.3031312637237955,3.1618199660166395,3.137972409543006,115.0,119.0,4,500
churros_spanish,Spanish,7.322710609436035,7.354085436554217,0.3234748223106578,3.119654077173192,3.1238899976042798,121.0,120.0,-1,20
churro,Mexican,7.396128391504288,7.3133942780106285,0.3234748223106578,3.1295733106191377,3.1183414966036844,120.0,121.0,1,500
pizza,Italian,6.83827793765068,7.043035649740103,0.3198078040607087,3.0625303671555866,3.0920743534154913,123.0,122.0,-1,500
char_siu,Chinese,7.016940265178681,7.052358454552607,0.3230840935392318,3.078178414400557,3.083204731571695,122.0,123.0,1,500
chile_relleno,Mexican,6.785895975828171,6.855988453107097,0.3181617528849141,3.060057035015254,3.070317865744694,124.0,124.0,0,500
fish_and_chips,Other,6.800981203317642,6.940089667127761,0.3253698736066217,3.039862331323876,3.0601073659010325,126.0,125.0,-1,500
tempura,Japanese,6.976093923807144,7.010076188352379,0.3320592974999239,3.044917405693164,3.049790288597799,125.0,126.0,1,500
biryani,Indian,6.7893765993118285,6.7941008420613,0.3345396378994281,3.010303562801858,3.0110546199220822,128.0,127.0,-1,500
quiche,French,7.306136783838272,7.137032788987745,0.3547504593313247,3.0250365965130257,3.001637782343861,127.0,128.0,1,500
brownie,Other,7.362209852695465,7.328874966486235,0.3645830754384144,3.0053324723044224,3.0008228580402054,129.0,129.0,0,500
peking_duck,Chinese,7.069913066387176,7.175710981269975,0.3637668649375477,2.967102577390219,2.981943945684386,130.0,130.0,0,500
chow_fun,Chinese,7.170736167669296,7.301167441144678,0.372484261208624,2.957605608744521,2.9755947526565145,131.0,131.0,0,500
general_tso,Chinese,6.648940572500229,6.947175554803181,0.3714217975765348,2.884883408908441,2.928752123471651,135.0,132.0,-3,500
orange_chicken,Chinese,6.438323560714721,6.831611180686897,0.3702907257974551,2.8556847693582617,2.915027379856429,142.0,133.0,-9,500
sweet_and_sour,Chinese,6.415947596073151,6.753311879290402,0.3685525819004364,2.8569667563720684,2.9082049191473,141.0,134.0,-7,500
buffalo_wings,American,6.761100242853165,7.037297459444066,0.386292331318037,2.8623316692384835,2.902385073996026,138.0,135.0,-3,500
katsu,Japanese,6.9729694623947145,6.946219768674389,0.3813776644673086,2.906010697732519,2.9021627429168477,132.0,136.0,4,500
pasta_bolognese,Italian,7.057850429296494,6.951647295405797,0.3871269799507092,2.9031642514551943,2.887981178615493,133.0,137.0,4,500
