dish_id,category_recipe,H_mean,E_composite,log_DEI,within_rank,n_in_category,protein_g,calorie_kcal
harissa,Mixed/Other,6.9238,0.0337149583840212,5.324778423001686,1,62,7.904999999999999,358.0
horiatiki,Mixed/Other,6.1523,0.0624649954359781,4.58997494780739,7,62,11.77,381.2000000000001
hot_dog,Mixed/Other,6.5556,0.186911584136972,3.5574392322477264,23,62,20.275,415.7
japchae,Mixed/Other,8.3452,0.2850385521038225,3.3768173605955747,33,62,19.885,379.2000000000001
kimchi_jjigae,Mixed/Other,3.9581,0.1738305685587496,3.1254383102261416,45,62,31.28,367.25
lahmacun,Mixed/Other,7.9826,0.3993846022337299,2.995094583919649,51,62,29.76,515.9499999999999
lumpia,Mixed/Other,3.8468,0.2834301385015858,2.6080312450766567,56,62,21.08,574.1999999999999
manti_turkish,Mixed/Other,6.3586,0.3164032495057304,3.000546000230336,50,62,32.305,592.95
mapo_tofu,Mixed/Other,7.5825,0.2133064982371322,3.5708681493027354,22,62,32.055,453.19999999999993
minestrone,Mixed/Other,2.753,0.1196048159520431,3.136253397279225,44,62,7.750000000000001,316.90000000000003
mofongo,Mixed/Other,7.9826,0.30598424460965,3.261485839491105,39,62,19.22,514.9
muhammara,Mixed/Other,6.9238,0.0689125430117803,4.609881822775131,6,62,11.375000000000002,605.8000000000001
nachos,Mixed/Other,8.1233,0.2693445432591771,3.406500364538245,29,62,33.135000000000005,709.6999999999999
okonomiyaki,Mixed/Other,4.2962,0.1942506282035568,3.0963369668022045,46,62,32.66,640.1999999999999
paella,Mixed/Other,8.2123,0.2576096497632017,3.461942855586624,27,62,47.42,708.15
pajeon,Mixed/Other,6.1523,0.1644038414617883,3.622255425720937,19,62,21.97,541.0
pancake,Mixed/Other,5.2029,0.1740145033925502,3.3978327928530265,31,62,17.735000000000003,569.95
pao_de_queijo,Mixed/Other,3.2587,0.2428052824914401,2.5968238063203155,57,62,18.55,419.9
patatas_bravas,Mixed/Other,5.9025,0.2824044679241891,3.039790942204443,48,62,5.59,554.35
pav_bhaji,Mixed/Other,4.0257,0.1166340260317642,3.541413037975115,25,62,8.56,405.6
pide,Mixed/Other,4.9488,0.4337136613633501,2.434515852015952,60,62,41.0,717.1
plantain,Mixed/Other,3.2587,0.256694606304495,2.5411965458364563,58,62,2.75,487.7
poutine,Mixed/Other,2.2532,0.2927894152712246,2.040653075616801,62,62,19.135,503.35
prosciutto,Mixed/Other,8.4548,0.0648074671569017,4.871068775788565,4,62,29.54,353.70000000000005
ramen,Mixed/Other,2.0123,0.1942964691225439,2.337648441551813,61,62,45.43,784.5500000000001
ratatouille,Mixed/Other,2.3516,0.1346233349410699,2.86037045925379,53,62,3.84,263.85
ravioli,Mixed/Other,6.7444,0.1935701450266944,3.5508278565257267,24,62,31.24,719.5
roti_caribbean,Mixed/Other,2.2532,0.1967827292452522,2.438006484153497,59,62,43.31,870.0
samosa,Mixed/Other,6.6002,0.2564875522755967,3.247775096292419,40,62,8.113999999999999,551.91
sfeeha,Mixed/Other,8.3445,0.3120068417868014,3.2863328018105573,38,62,30.01,605.3
soup,Mixed/Other,3.7433,0.1268497208512982,3.384719768882793,32,62,13.89,224.2
spanakopita,Mixed/Other,4.7362,0.2741309781639822,2.8493843907339222,54,62,28.53,652.5999999999999
spring_rolls,Mixed/Other,7.0283,0.2903988081034614,3.186444956177923,42,62,22.545,613.9
tabbouleh,Mixed/Other,6.6965,0.0422978507033765,5.064604006860739,2,62,7.3,426.1
takoyaki,Mixed/Other,6.3849,0.1512882831212846,3.742503930207557,18,62,20.140000000000004,330.8
tamale,Mixed/Other,8.034,0.1372645889738489,4.069527445287059,12,62,25.765,429.19999999999993
tapas,Mixed/Other,7.0751,0.1942673219562087,3.595101697895398,21,62,19.76,486.8999999999999
tostones,Mixed/Other,7.7129,0.2569469812346993,3.401779765811086,30,62,2.52,539.0500000000001
waffle,Mixed/Other,4.5518,0.1785825277098203,3.238227203625339,41,62,17.78,625.15
warak_enab,Mixed/Other,7.64,0.2056933839172815,3.614766249765728,20,62,17.849999999999998,383.3
wonton_soup,Mixed/Other,5.2029,0.1715262451683963,3.4122351534751445,28,62,33.800000000000004,408.72
xiao_long_bao,Mixed/Other,8.4772,0.1355547936033021,4.135759546166381,10,62,28.46,447.82
chana_masala,Plant Protein,6.8396,0.1795333304373007,3.64012365379594,7,11,44.892,941.89
chole_bhature,Plant Protein,8.3445,0.2964050802571009,3.3376308850396503,8,11,33.57,1006.6
dal,Plant Protein,7.9892,0.1513163041255206,3.9664735333544368,4,11,27.102,486.74
edamame,Plant Protein,7.9892,0.122958281541028,4.174000785214454,3,11,54.75,669.0
falafel,Plant Protein,4.9737,0.3067878357769481,2.7857628889126254,11,11,34.95899999999999,1011.7
ful_medames,Plant Protein,4.3571,0.1732907255875608,3.2245912986539897,9,11,33.484,671.1
gado_gado,Plant Protein,7.8508,0.0368416990578821,5.361740386167513,1,11,22.78,397.3
hummus,Plant Protein,7.6735,0.0956000970923752,4.38535427794769,2,11,35.415,849.2000000000002
mujaddara,Plant Protein,4.0257,0.1930589222252236,3.0374586489598814,10,11,28.76,682.8
rice_and_peas,Plant Protein,7.4181,0.1843953955683595,3.694595897673319,6,11,19.94,595.0500000000001
sundubu_jjigae,Plant Protein,7.7188,0.1660415503417002,3.839176130223039,5,11,24.75,274.45
al_pastor,Pork Main,7.9826,0.26940861804542,3.388790198674433,7,26,59.57,657.6
bak_kut_teh,Pork Main,4.3571,0.2194583776857819,2.988399386191185,15,26,56.290000000000006,516.75
bossam,Pork Main,4.9488,0.2477463793234811,2.99449484306168,14,26,69.2,631.9
bratwurst,Pork Main,3.2587,0.228276205868912,2.6585272968078,22,26,33.629999999999995,655.0
bun_cha,Pork Main,5.5335,0.2664993860833531,3.0332038657287868,11,26,39.245,896.3000000000001
carnitas,Pork Main,7.4181,0.4370581929843786,2.831611887727305,17,26,68.85999999999999,711.85
char_siu,Pork Main,5.4794,0.3230840935392318,2.8308382440448705,18,26,56.105,620.9000000000001
com_tam,Pork Main,8.6516,0.2925279261245002,3.386939417874666,8,26,44.03,617.7
cubano_sandwich,Pork Main,6.1523,0.2115503017405358,3.370118471128848,9,26,42.41,580.9
currywurst,Pork Main,7.9826,0.2231653503153459,3.5771064739807104,3,26,29.32,562.9
dumplings,Pork Main,7.9968,0.1552253181381092,3.941919013862969,1,26,36.57,599.2
feijoada,Pork Main,3.6628,0.2897462854725938,2.5369774988626066,23,26,73.74999999999999,1137.45
jokbal,Pork Main,4.6633,0.4363466234641828,2.369041695560057,26,26,69.455,624.4000000000001
katsu,Pork Main,7.6735,0.3813776644673086,3.001737984126658,13,26,58.27,996.9
katsu_curry,Pork Main,5.2167,0.4151069941812468,2.5310839927503954,24,26,54.53,1084.9
larb,Pork Main,8.3075,0.2198598697019789,3.631923612719074,2,26,43.925,430.2
pernil,Pork Main,5.7087,0.3931432205868955,2.6755726315206307,21,26,83.07999999999998,890.75
pozole,Pork Main,4.3612,0.1813985581478384,3.179805938651146,10,26,37.2,405.4
pulled_pork,Pork Main,8.4804,0.4097443133224298,3.029979558364913,12,26,55.45,548.1
ribs,Pork Main,8.5646,0.5441126977074214,2.756236317671121,20,26,83.08999999999999,814.0
samgyeopsal,Pork Main,4.5518,0.274564609930532,2.808091431703021,19,26,56.93000000000001,568.5
schnitzel,Pork Main,7.4181,0.3886454747417314,2.949010686603656,16,26,63.080000000000005,1032.8
sisig,Pork Main,8.4418,0.2742649021074548,3.426856399638924,6,26,60.02,570.0
souvlaki,Pork Main,8.5603,0.2720715998352537,3.4488252489063798,5,26,55.07,705.0999999999999
sweet_and_sour,Pork Main,4.2962,0.3685525819004364,2.4559027968655944,25,26,48.7,982.3
vindaloo,Pork Main,7.5825,0.2360593776690798,3.469514865890461,4,26,58.352,718.89
adobo,Poultry Main,3.6628,0.3835664436260561,2.2564702995635626,37,43,50.562,381.7299999999999
aji_de_gallina,Poultry Main,7.0785,0.2064411581111852,3.53480187665315,6,43,49.900000000000006,619.4
arroz_con_pollo,Poultry Main,7.2606,0.2455558063386589,3.386693510568348,10,43,42.56,674.5500000000001
biryani,Poultry Main,7.8317,0.3345396378994281,3.153179507584688,18,43,45.902,706.7400000000001
buffalo_wings,Poultry Main,3.4398,0.386292331318037,2.1865741912901977,38,43,62.02,877.2
burrito,Poultry Main,2.4568,0.276301431930006,2.185122554691648,39,43,53.81000000000001,847.6999999999999
butter_chicken,Poultry Main,9.4037,0.2453824918883798,3.64604032329902,2,43,52.602,807.2900000000001
chicken_salad,Poultry Main,1.3336,0.0681619356522414,2.9737510506649816,21,43,30.71,361.25
chicken_sandwich,Poultry Main,2.0123,0.2305453291832126,2.166586126477392,40,43,43.75000000000001,569.9
coq_au_vin,Poultry Main,8.3333,0.433244547442996,2.956712471901802,23,43,73.165,722.8000000000001
coxinha,Poultry Main,4.3571,0.3252279436113923,2.595035675979833,31,43,34.31,883.4
dakgalbi,Poultry Main,8.1087,0.2163950379212937,3.623587221743728,3,43,51.74,431.95
donburi,Poultry Main,1.0407,0.2347841626076021,1.4889822075286392,42,43,41.505,568.8000000000001
doro_wot,Poultry Main,7.9826,0.2313390511602135,3.5411350635500325,5,43,57.40000000000002,703.7
duck_confit,Poultry Main,7.2606,0.4095605683183486,2.875132948694929,26,43,48.32,849.95
enchilada,Poultry Main,5.2029,0.2953211986902908,2.8689078682879376,27,43,47.68,657.6
fajita,Poultry Main,1.0,0.2319769200463485,1.4611173948233878,43,43,41.99,595.3000000000001
fesenjan,Poultry Main,6.9238,0.2580113680578307,3.2897163846508093,14,43,60.290000000000006,1036.5
fried_chicken,Poultry Main,3.9581,0.393529317972158,2.3083638203996357,36,43,67.738,1048.02
general_tso,Poultry Main,6.4054,0.3714217975765348,2.8475583260968174,28,43,56.38500000000001,946.6
green_curry,Poultry Main,4.6754,0.2611478475643975,2.8849832868544354,25,43,46.04999999999999,854.75
jerk_chicken,Poultry Main,3.6628,0.2704630231587363,2.6058477704103544,30,43,63.1,617.1
