category,from_dish,to_dish,from_E,to_E,E_reduction,E_ratio,from_H,to_H,H_change,from_cuisine,to_cuisine,sub_score
Dessert,creme_brulee,mango_sticky_rice,0.2801526093771747,0.1575942646055001,0.12255834477167457,1.7776827734084761,7.324,7.382,0.05799999999999983,French,Thai,1.8807883742661675
Dessert,creme_brulee,panna_cotta,0.2801526093771747,0.0769170517835727,0.20323555759360196,3.6422692092445397,7.324,7.57,0.24600000000000044,French,Italian,4.538267434718698
Dessert,creme_brulee,tiramisu,0.2801526093771747,0.1078809838214075,0.1722716255557672,2.596867394544304,7.324,7.448,0.12400000000000055,French,Italian,2.918878951467799
Dessert,mango_sticky_rice,gelato,0.1575942646055001,0.0648149325917145,0.0927793320137856,2.431449949940176,7.382,7.564,0.18200000000000038,Thai,Italian,2.873973840829289
Dessert,mango_sticky_rice,panna_cotta,0.1575942646055001,0.0769170517835727,0.0806772128219274,2.048885922577154,7.382,7.57,0.1880000000000006,Thai,Italian,2.4340764760216604
Dessert,mango_sticky_rice,tiramisu,0.1575942646055001,0.1078809838214075,0.04971328078409261,1.4608159753751495,7.382,7.448,0.06600000000000072,Thai,Italian,1.5572298297499105
Dessert,souffle,gelato,0.2974611158696626,0.0648149325917145,0.23264618327794812,4.5893917338994195,7.419,7.564,0.14500000000000046,French,Italian,5.254853535314838
Dessert,souffle,mango_sticky_rice,0.2974611158696626,0.1575942646055001,0.1398668512641625,1.8875123191461696,7.419,7.382,-0.03699999999999992,French,Thai,1.8176743633377614
Dessert,souffle,panna_cotta,0.2974611158696626,0.0769170517835727,0.2205440640860899,3.8672974193895437,7.419,7.57,0.1510000000000007,French,Italian,4.4512593297173675
Dessert,souffle,tiramisu,0.2974611158696626,0.1078809838214075,0.18958013204825513,2.7573081495261222,7.419,7.448,0.029000000000000803,French,Italian,2.837270085862382
Dessert,tiramisu,gelato,0.1078809838214075,0.0648149325917145,0.043066051229692995,1.6644464401587338,7.448,7.564,0.11599999999999966,Italian,Italian,1.8575222272171463
Dessert,tiramisu,panna_cotta,0.1078809838214075,0.0769170517835727,0.03096393203783479,1.4025626479413218,7.448,7.57,0.12199999999999989,Italian,Italian,1.5736752909901628
Noodle/Rice Dish,bibimbap,dan_dan_noodles,0.4103771234250521,0.1768632843021446,0.23351383912290752,2.320307038537088,7.176,7.243,0.06700000000000017,Korean,Chinese,2.4757676101190733
Noodle/Rice Dish,bibimbap,fried_rice,0.4103771234250521,0.2050187887838639,0.20535833464118822,2.001656169462996,7.176,6.66,-0.516,Korean,Chinese,0.9688015860200901
