dish_id,price_tier,n_mentions,H_mean,H_std
general_tso,3,7,6.934536797659738,2.232239555169634
gnocchi,2,316,7.165336245600181,1.6859917939175546
gnocchi,3,134,7.303135161079577,1.4568493575515153
gnocchi,4,25,7.70004451751709,0.9537930720671156
green_curry,1,26,7.208746836735652,1.743824259079262
green_curry,2,455,7.313572796622475,1.5251813415916375
green_curry,3,7,7.957705089024135,0.09273531777050716
grilled_cheese,1,105,7.2825243393580115,1.571667714703121
grilled_cheese,2,364,7.186826180625748,1.5241346275163694
grilled_cheese,3,10,7.746247291564941,0.4334791098220353
guacamole,1,110,6.657972781224684,2.0353673007775064
guacamole,2,365,6.993596943763837,1.7712647745447576
guacamole,3,19,7.135769881700215,1.5864342724448173
gyro,1,230,7.1980455357095465,1.5301993601534818
gyro,2,235,7.1538444935007295,1.6861394936749552
hamburger,1,88,6.368994416161017,2.140663593546471
hamburger,2,379,6.768447973797378,1.9087728345750061
hamburger,3,17,7.404694444992963,1.3288490633985075
hot_and_sour_soup,1,168,6.826701062066214,1.8291019978592413
hot_and_sour_soup,2,318,6.686073551013035,2.0002831415396924
hummus,1,90,7.086477809482151,1.6909212475881825
hummus,2,348,7.339260972094261,1.429058594390675
hummus,3,18,7.637694835662842,0.9462762107393958
hummus,4,27,7.790685636025888,0.559199038825958
ice_cream,1,160,7.022393450140953,1.6731569319145279
ice_cream,2,267,7.479668052901936,1.2178867115129222
ice_cream,3,37,7.541345750963366,1.0696976170132035
ice_cream,4,5,6.787450313568115,1.9364232512375772
japchae,1,37,6.981038705722706,1.7316478487217035
japchae,2,409,7.365479785247653,1.3388927657180194
japchae,3,21,6.699296962647211,1.9984777542368692
katsu,1,77,6.918664854842347,1.7583548198630845
katsu,2,394,6.9832978672182495,1.757857833921418
katsu,3,5,6.658345317840576,1.4979630350880322
kebab,1,76,7.13093964677108,1.5730600426938262
kebab,2,352,7.263957095417109,1.5755228703679356
kebab,3,28,7.7087830645697455,0.7036021094372729
kebab,4,10,6.7417689800262455,1.9413892560053576
kimbap,1,92,7.388579664023026,1.3397844372982652
kimbap,2,250,7.18545180940628,1.5563290298557106
kimchi,1,50,7.081916058063507,1.580255720810456
kimchi,2,408,7.174120609958966,1.5296116768001882
kimchi,3,24,7.186397110422452,1.6628690872648537
kimchi_jjigae,1,13,7.344394867236797,1.2141429482288344
kimchi_jjigae,2,176,6.780922918157144,1.8524887094415563
kimchi_jjigae,3,24,7.000192393859227,2.0215374105207773
korean_fried_chicken,1,223,5.398789285544323,2.177244483078112
korean_fried_chicken,2,245,6.8795089128066085,1.6915025273987703
korean_fried_chicken,3,9,7.059906853569879,1.8592999772351275
korma,1,23,6.937394473863685,1.9843212214376569
korma,2,448,7.256115856979575,1.5723783908235103
korma,3,5,8.009966182708741,0.034585835366398816
kung_pao_chicken,1,138,6.316714247931605,2.144309545719545
kung_pao_chicken,2,325,6.529610071182251,2.1900299575690214
kung_pao_chicken,3,11,7.306672854857012,1.3562308367006406
larb,1,52,6.814964989056954,1.8738822272080728
larb,2,414,7.120713542912894,1.645598627563231
larb,3,12,7.124065001805623,1.8194397817359027
lasagna,1,41,7.434798368593541,1.1050001818146984
lasagna,2,389,6.728865662086899,2.020560135368968
lasagna,3,56,7.41815077832767,1.4076834225050983
lo_mein,1,217,6.513381821768625,2.1250902823404463
lo_mein,2,252,6.451233993920069,2.143704216151304
lobster_roll,2,406,7.2186637203681645,1.4589236647903587
lobster_roll,3,52,7.167438027950434,1.6989159938872542
mac_and_cheese,1,48,7.0312853281696635,1.7317426409939207
mac_and_cheese,2,398,6.9729210309047795,1.7900741516671652
mac_and_cheese,3,33,7.144302895574858,1.6275594133045963
mac_and_cheese,4,5,6.7308807373046875,2.226880228079243
mango_sticky_rice,1,44,7.676892345601862,1.020579061511908
mango_sticky_rice,2,425,7.359236034505508,1.4464576311835762
mango_sticky_rice,3,8,7.390259146690369,0.6522587275386561
mapo_tofu,1,73,6.930037328641709,1.7006527395965958
mapo_tofu,2,401,6.829157815609787,1.8087727167498233
massaman_curry,1,15,7.1903196175893145,1.563162929659924
massaman_curry,2,461,7.291259192592927,1.5404042339971908
minestrone,1,27,6.523052242067125,2.0174392028501376
minestrone,2,426,6.61672615669143,2.0322945890967046
minestrone,3,40,6.719581943750382,1.8902522277764817
miso_soup,1,14,7.4896127837044855,1.3643775476905962
miso_soup,2,446,6.91320579388751,1.759568485953249
miso_soup,3,18,7.31786863009135,1.380818849744791
moussaka,1,49,6.911640347266684,1.8751266619781641
moussaka,2,398,7.097705370217711,1.708016942688209
moussaka,3,40,7.4057012617588045,1.3708061746476632
naan,1,36,7.1920263568560285,1.5638034357438082
naan,2,414,7.223258872251004,1.5251855204074387
naan,3,19,6.76287139089484,2.050926894333325
