main,side,H_meal,E_meal,log_DEI_meal,total_cal,total_protein,main_cuisine,side_cuisine
tabbouleh,fresh_spring_roll,6.894508740221202,0.0954273729882229,4.280115073094382,741.4000000000001,27.190000000000005,Mediterranean,Vietnamese
panna_cotta,raita,7.557260546673543,0.1049764737659648,4.276527776272941,775.6,20.726,Italian,Indian
nicoise_salad,papaya_salad,5.317567113147692,0.0741730841568497,4.2723698310266975,567.4,32.875,French,Thai
club_sandwich,som_tam,5.58090222162741,0.0781204712823541,4.268853591978367,747.1999999999999,43.400000000000006,American,Thai
panna_cotta,ceviche,8.25027413049727,0.1163355983410797,4.261522603390347,869.75,36.275,Italian,Mexican
gelato,fresh_spring_roll,8.302948283287474,0.11794445487656091,4.254152153308245,835.9000000000001,28.620000000000005,Italian,Vietnamese
muhammara,ceviche,7.620873541191694,0.1083310895692873,4.2534540982829085,811.45,42.85,Lebanese,Mexican
muhammara,raita,6.788921218458107,0.0969719649941724,4.248625413891578,717.3000000000001,27.301000000000002,Lebanese,Indian
tabbouleh,prosciutto,7.494025916901771,0.10710531786027819,4.24804880825633,779.8000000000001,36.839999999999996,Mediterranean,Italian
hummus,papaya_salad,7.370585209003215,0.1064333771537445,4.237733163468185,995.2000000000002,41.129999999999995,Mediterranean,Thai
muhammara,gado_gado,7.2909589073870995,0.10575424206966241,4.233272422461148,1003.1000000000001,34.155,Lebanese,Indonesian
panna_cotta,gado_gado,7.8248341530054635,0.11375875084145481,4.230977835333262,1061.4,27.580000000000002,Italian,Indonesian
hummus,rojak,6.693600115763071,0.0984551441132852,4.219306087532162,1036.6000000000001,41.985,Mediterranean,Indonesian
causa,tzatziki,4.952916005040959,0.073066688956055,4.216359202582465,634.8,35.005,South American,Greek
gelato,prosciutto,8.775805901864349,0.1296223997486162,4.215128278235307,874.3000000000001,38.269999999999996,Italian,Italian
hummus,kimchi,7.191513493129455,0.1063894134168719,4.2135508543074085,967.9000000000002,41.165,Mediterranean,Korean
hummus,fattoush,7.8759960681520305,0.1166291600255321,4.212575611907631,1068.2000000000003,38.975,Mediterranean,Lebanese
char_siu_bao,som_tam,8.536238051795173,0.1267519587191717,4.209843584814896,679.6,30.77,Chinese,Thai
coquito,gado_gado,5.992347352237786,0.090465249893671,4.193272694957392,848.8299999999999,32.063,Caribbean,Indonesian
nicoise_salad,kimchi,4.892884817626366,0.0741291204199771,4.189728907549995,540.1,32.91,French,Korean
nicoise_salad,guacamole,6.461441516707642,0.0980524629864662,4.1881050448590385,687.4099999999999,31.185000000000002,French,Mexican
nicoise_salad,rojak,4.304479402102497,0.0661948511163904,4.1748087986655165,608.8,33.730000000000004,French,Indonesian
nicoise_salad,ceviche,6.6786335619169135,0.1027583506529874,4.1742885673709615,627.05,58.635000000000005,French,Mexican
chili,dosa,2.3401860761869018,0.6742668746640257,1.2443597359111682,1065.8000000000002,72.09,American,Indian
chow_mein,sardines_grilled,1.334050742817999,0.3858706579550631,1.2404730335525902,1167.85,81.155,Chinese,Portuguese
pot_roast,halo_halo,3.2587,0.9439736460995334,1.2389853733351561,1049.0,73.48499999999999,American,Filipino
chili,adobo,3.0942498577620636,0.8964563233038729,1.2388512107189185,1114.33,110.332,American,Filipino
donburi,sardines_grilled,1.4695731394159754,0.42638928251113517,1.2373745185423197,880.1,81.61500000000001,Japanese,Portuguese
pot_roast,tamagoyaki,3.6787520275919734,1.0675969860856331,1.2371632562589707,956.8,82.785,American,Japanese
