dish_id,E_current,E_best_benchmark,E_reducible,E_reduction_pct,benchmark_dish,benchmark_H,has_efficient_alternative
dolma,0.1463439103506557,0.0347126588909858,0.1116312514596699,76.28007970553026,guacamole,8.706,True
donburi,0.2347841626076021,0.0107893163244967,0.2239948462831054,95.40458086922625,kimchi,4.6016,True
dosa,0.1613769949862088,0.0107893163244967,0.1505876786617121,93.31421661097436,kimchi,4.6016,True
dumplings,0.1552253181381092,0.0347126588909858,0.1205126592471234,77.63724416393157,guacamole,8.706,True
edamame,0.122958281541028,0.0347126588909858,0.08824562265004221,71.76875078609237,guacamole,8.706,True
elote,0.1805572994317562,0.0363340634140795,0.1442232360176767,79.8767130830884,ca_phe_sua_da,9.9583,True
enchilada,0.2953211986902908,0.0108332800613693,0.2844879186289215,96.3316957572252,papaya_salad,5.653,True
escargot,0.22905787543792,0.0347126588909858,0.1943452165469342,84.84546369574892,guacamole,8.706,True
fajita,0.2319769200463485,0.0107893163244967,0.2211876037218518,95.34896992237805,kimchi,4.6016,True
falafel,0.3067878357769481,0.0108332800613693,0.2959545557155788,96.4688039100593,papaya_salad,5.653,True
fish_and_chips,0.3253698736066217,0.0107893163244967,0.314580557282125,96.68398422850261,kimchi,4.6016,True
french_fries,0.247277363637544,0.0108332800613693,0.2364440835761747,95.61897623704506,papaya_salad,5.653,True
french_onion_soup,0.2794902450794066,0.0363340634140795,0.24315618166532713,86.99988137197542,ca_phe_sua_da,9.9583,True
fresh_spring_roll,0.0531295222848464,0.0347126588909858,0.018416863393860602,34.664086183800414,guacamole,8.706,True
fried_chicken,0.393529317972158,0.0107893163244967,0.3827400016476613,97.25831956305223,kimchi,4.6016,True
fried_rice,0.2050187887838639,0.0107893163244967,0.1942294724593672,94.73740119698441,kimchi,4.6016,True
gazpacho,0.0402863263051759,0.0363340634140795,0.003952262891096403,9.81043260474367,ca_phe_sua_da,9.9583,True
gelato,0.0648149325917145,0.0363340634140795,0.028480869177635003,43.94183259750208,ca_phe_sua_da,9.9583,True
general_tso,0.3714217975765348,0.0280594219823921,0.34336237559414273,92.44540246009385,raita,6.5861,True
gnocchi,0.1493656341086219,0.0363340634140795,0.1130315706945424,75.67441558366995,ca_phe_sua_da,9.9583,True
green_curry,0.2611478475643975,0.0108332800613693,0.2503145675030282,95.85166787227764,papaya_salad,5.653,True
grilled_cheese,0.1882054209607936,0.0347126588909858,0.1534927620698078,81.55597287592633,guacamole,8.706,True
guacamole,0.0347126588909858,,0.0,0.0,,,False
gyro,0.4052126119464612,0.0347126588909858,0.3704999530554754,91.43347026534005,guacamole,8.706,True
hamburger,0.5502933141427692,0.0107893163244967,0.5395039978182725,98.03935173348346,kimchi,4.6016,True
hot_and_sour_soup,0.1340866392818403,0.0108332800613693,0.12325335922047101,91.9206864163412,papaya_salad,5.653,True
hummus,0.0956000970923752,0.0347126588909858,0.0608874382013894,63.689724229626975,guacamole,8.706,True
ice_cream,0.0838113240686453,0.0280594219823921,0.055751902086253205,66.52072700890615,raita,6.5861,True
japchae,0.2850385521038225,0.0347126588909858,0.2503258932128367,87.82176704351836,guacamole,8.706,True
katsu,0.3813776644673086,0.0347126588909858,0.3466650055763228,90.89808813542584,guacamole,8.706,True
kebab,0.4289247527784806,0.0347126588909858,0.3942120938874948,91.90705160610928,guacamole,8.706,True
kimbap,0.1364470620417334,0.0347126588909858,0.10173440315074761,74.55961427709697,guacamole,8.706,True
kimchi,0.0107893163244967,,0.0,0.0,,,False
kimchi_jjigae,0.1738305685587496,0.0107893163244967,0.1630412522342529,93.79319965760209,kimchi,4.6016,True
korean_fried_chicken,0.3907836556182036,0.0107893163244967,0.3799943392937069,97.23905640131534,kimchi,4.6016,True
korma,0.2480675328093393,0.0347126588909858,0.2133548739183535,86.00677061690884,guacamole,8.706,True
kung_pao_chicken,0.2407579913425084,0.0108332800613693,0.2299247112811391,95.5003445572207,papaya_salad,5.653,True
larb,0.2198598697019789,0.0347126588909858,0.1851472108109931,84.21146208353576,guacamole,8.706,True
lasagna,0.5943961798471784,0.0347126588909858,0.5596835209561926,94.16001312459468,guacamole,8.706,True
lo_mein,0.1958151798842702,0.0107893163244967,0.1850258635597735,94.49005111305806,kimchi,4.6016,True
lobster_roll,0.1997214767272574,0.0347126588909858,0.1650088178362716,82.61946613864171,guacamole,8.706,True
mac_and_cheese,0.3013898684318615,0.0280594219823921,0.2733304464494694,90.68999162832317,raita,6.5861,True
mango_sticky_rice,0.1575942646055001,0.0347126588909858,0.12288160571451431,77.97339961712395,guacamole,8.706,True
