city_1,city_2,n_common_dishes,spearman_rho,p_value
New Orleans,Clearwater,83,0.27024474203433946,0.013478520493524455
New Orleans,Saint Petersburg,79,0.13719571567672834,0.22793452676612602
New Orleans,Metairie,59,0.20327293980128583,0.12255628435463996
New Orleans,Cherry Hill,43,-0.07414678344910902,0.6365434896781764
Nashville,Tucson,154,0.2691523530233208,0.0007371137438095326
Nashville,Indianapolis,151,0.2523143952596723,0.0017753023864043637
Nashville,Reno,147,0.22388911136464953,0.006410069016315317
Nashville,Saint Louis,154,0.15048999071769473,0.062470689829946795
Nashville,Santa Barbara,140,0.15189258927204743,0.0732108106159686
Nashville,Edmonton,118,0.1352608840146228,0.14418332173640255
Nashville,Boise,92,0.06422329423731948,0.5430454695144025
Nashville,Clearwater,88,0.19474481349723508,0.06903394634678642
Nashville,Saint Petersburg,81,0.1911472448057814,0.08737935808412498
Nashville,Metairie,64,0.2908424908424908,0.01972545340832509
Nashville,Cherry Hill,46,0.17557816836262718,0.2431495835989187
Tucson,Indianapolis,150,0.2661931641406285,0.0009929130860138811
Tucson,Reno,147,0.3010374086695026,0.0002113490971853469
Tucson,Saint Louis,154,0.30284794269614007,0.000134715795292208
Tucson,Santa Barbara,140,0.24721523692899786,0.003232532475332437
Tucson,Edmonton,120,0.1789777067851934,0.05047641930050253
Tucson,Boise,94,0.19463930932341145,0.0601257723189146
Tucson,Clearwater,89,0.33956418113721487,0.0011320978865263166
Tucson,Saint Petersburg,80,0.2859587435536803,0.01012958166926083
Tucson,Metairie,65,0.30419580419580416,0.013754675243567284
Tucson,Cherry Hill,47,0.26075393154486587,0.07668239269213112
Indianapolis,Reno,143,0.22551626776978886,0.006767143300349498
Indianapolis,Saint Louis,150,0.3205458020356461,6.359129093418863e-05
Indianapolis,Santa Barbara,137,0.20528963727668154,0.016105018657145646
Indianapolis,Edmonton,115,0.28859780635997795,0.0017606439650483107
Indianapolis,Boise,92,0.16525129849113018,0.11543962405735442
Indianapolis,Clearwater,85,0.32151651358217703,0.002695863148112757
Indianapolis,Saint Petersburg,81,0.11061427280939476,0.32557003133576023
Indianapolis,Metairie,64,0.2659798534798534,0.03364260610064614
Indianapolis,Cherry Hill,44,0.2528541226215645,0.09772341392110231
Reno,Saint Louis,147,0.35976093510340085,7.626444857033564e-06
Reno,Santa Barbara,137,0.17548117311031042,0.040259266683197355
Reno,Edmonton,114,0.13964480265689233,0.13838346913281815
Reno,Boise,90,0.22469440671687863,0.03324206111608048
Reno,Clearwater,86,0.3079107505070994,0.00392553614662
Reno,Saint Petersburg,78,-0.011317796127922709,0.9216580331908758
Reno,Metairie,61,0.24442094130089898,0.05764344589245376
Reno,Cherry Hill,42,0.05420954541771331,0.7331287307490967
Saint Louis,Santa Barbara,139,0.2848742124312972,0.000676331153572357
Saint Louis,Edmonton,118,0.3717674814384685,3.397972319110174e-05
Saint Louis,Boise,92,0.19370251067305766,0.06430053003753393
Saint Louis,Clearwater,88,0.32730442745940624,0.0018538464689096183
Saint Louis,Saint Petersburg,81,0.011901535682023488,0.9160166144157844
Saint Louis,Metairie,64,0.1973443223443223,0.11804000582987471
Saint Louis,Cherry Hill,46,0.26339808818994753,0.07694917486309155
Santa Barbara,Edmonton,108,0.2270523116789086,0.01812320632577076
Santa Barbara,Boise,85,0.14193863591948405,0.19504252778883205
Santa Barbara,Clearwater,82,0.39260565296416017,0.00026402707068263884
Santa Barbara,Saint Petersburg,74,0.3121658644946316,0.006776021019926961
Santa Barbara,Metairie,62,0.06162020598826522,0.6342337706197594
Santa Barbara,Cherry Hill,38,0.17868475763212605,0.2831100053026971
Edmonton,Boise,71,0.15821596244131453,0.1875687393307319
Edmonton,Clearwater,63,0.3553667434715822,0.0042620916464055246
Edmonton,Saint Petersburg,61,0.20206240084611313,0.11836673104707204
Edmonton,Metairie,53,0.24294468634091276,0.07962669139301808
Edmonton,Cherry Hill,40,0.1176360225140713,0.4697294620715049
Boise,Clearwater,54,0.13161806746712404,0.34277532682352396
Boise,Saint Petersburg,53,-0.010079019512981778,0.9428975838517942
Boise,Metairie,45,-0.027931488801054016,0.8554784073474393
Boise,Cherry Hill,29,0.2871921182266009,0.13089665085946736
Clearwater,Saint Petersburg,47,0.35858001850138765,0.01332271003572038
Clearwater,Metairie,39,0.23097165991902832,0.15715654358781556
Clearwater,Cherry Hill,19,-0.20877192982456141,0.391033007093879
Saint Petersburg,Metairie,30,-0.20578420467185762,0.2752897377927715
Saint Petersburg,Cherry Hill,22,0.6092603049124788,0.002614462489522853
Metairie,Cherry Hill,25,0.009230769230769232,0.9650704283598979
