dish_id,E_current,E_best_benchmark,E_reducible,E_reduction_pct,benchmark_dish,has_efficient_alternative
general_tso,0.3714217975765348,0.00285504702091,0.3685667505556248,99.23131947571771,rojak,True
gnocchi,0.1493656341086219,0.00285504702091,0.1465105870877119,98.08855160161289,rojak,True
green_curry,0.2611478475643975,0.00285504702091,0.2582928005434875,98.90673155167173,rojak,True
grilled_cheese,0.1882054209607936,0.00285504702091,0.1853503739398836,98.48301552296692,rojak,True
guacamole,0.0347126588909858,0.00285504702091,0.0318576118700758,91.7751992727604,rojak,True
gyro,0.4052126119464612,0.00285504702091,0.4023575649255512,99.29542000008449,rojak,True
hamburger,0.5502933141427692,0.00285504702091,0.5474382671218592,99.48117722902785,rojak,True
hot_and_sour_soup,0.1340866392818403,0.00285504702091,0.1312315922609303,97.87074459006398,rojak,True
hummus,0.0956000970923752,0.00285504702091,0.0927450500714652,97.01355217437566,rojak,True
ice_cream,0.0838113240686453,0.00285504702091,0.08095627704773531,96.5934829778234,rojak,True
japchae,0.2850385521038225,0.00285504702091,0.2821835050829125,98.99836460723037,rojak,True
katsu,0.3813776644673086,0.00285504702091,0.3785226174463986,99.2513858867698,rojak,True
kebab,0.4289247527784806,0.00285504702091,0.4260697057575706,99.33437112164415,rojak,True
kimbap,0.1364470620417334,0.00285504702091,0.1335920150208234,97.90757897005011,rojak,True
kimchi,0.0107893163244967,0.00285504702091,0.0079342693035867,73.5382026530473,rojak,True
kimchi_jjigae,0.1738305685587496,0.00285504702091,0.1709755215378396,98.35756907166471,rojak,True
korean_fried_chicken,0.3907836556182036,0.00285504702091,0.3879286085972936,99.2694047000524,rojak,True
korma,0.2480675328093393,0.00285504702091,0.2452124857884293,98.84908476793521,rojak,True
kung_pao_chicken,0.2407579913425084,0.00285504702091,0.2379029443215984,98.81414236553904,rojak,True
larb,0.2198598697019789,0.00285504702091,0.2170048226810689,98.70142421862616,rojak,True
lasagna,0.5943961798471784,0.00285504702091,0.5915411328262684,99.51967271700096,rojak,True
lo_mein,0.1958151798842702,0.00285504702091,0.1929601328633602,98.54196849161674,rojak,True
lobster_roll,0.1997214767272574,0.00285504702091,0.1968664297063474,98.57048572457288,rojak,True
mac_and_cheese,0.3013898684318615,0.00285504702091,0.2985348214109515,99.052706371397,rojak,True
mango_sticky_rice,0.1575942646055001,0.00285504702091,0.1547392175845901,98.18835601152304,rojak,True
mapo_tofu,0.2133064982371322,0.00285504702091,0.21045145121622222,98.66152834324998,rojak,True
massaman_curry,0.5748645506702768,0.00285504702091,0.5720095036493668,99.5033530911619,rojak,True
minestrone,0.1196048159520431,0.00285504702091,0.1167497689311331,97.61293305943904,rojak,True
miso_soup,0.1090529409366971,0.00285504702091,0.1061978939157871,97.38196237865122,rojak,True
moussaka,0.5167985075858745,0.00285504702091,0.5139434605649645,99.44755122567075,rojak,True
naan,0.2138116130018896,0.00285504702091,0.21095656598097962,98.66469038756807,rojak,True
nachos,0.2693445432591771,0.00285504702091,0.2664894962382671,98.9400019074592,rojak,True
okonomiyaki,0.1942506282035568,0.00285504702091,0.1913955811826468,98.53022507710082,rojak,True
onigiri,0.0556931760085771,0.00285504702091,0.0528381289876671,94.8736142818102,rojak,True
orange_chicken,0.3702907257974551,0.00285504702091,0.3674356787765451,99.22897150211867,rojak,True
osso_buco,0.934,0.00285504702091,0.9311449529790901,99.69432044744005,rojak,True
pad_see_ew,0.2391870645940731,0.00285504702091,0.2363320175731631,98.80635391978436,rojak,True
pad_thai,0.2390955383002528,0.00285504702091,0.2362404912793428,98.80589698946007,rojak,True
paella,0.2576096497632017,0.00285504702091,0.2547546027422917,98.89171580973989,rojak,True
palak_paneer,0.2075051881169707,0.00285504702091,0.2046501410960607,98.6241081262505,rojak,True
pancake,0.1740145033925502,0.00285504702091,0.1711594563716402,98.35930513534872,rojak,True
paneer_tikka,0.2850173554547919,0.00285504702091,0.2821623084338819,98.99829011592844,rojak,True
panna_cotta,0.0769170517835727,0.0108332800613693,0.06608377172220341,85.91563273661123,papaya_salad,True
papaya_salad,0.0108332800613693,0.00285504702091,0.007978233040459299,73.64559021149196,rojak,True
pasta_bolognese,0.3871269799507092,0.00285504702091,0.3842719329297992,99.26250373423379,rojak,True
pasta_carbonara,0.20538029673412,0.00285504702091,0.20252524971321,98.60987296916507,rojak,True
patatas_bravas,0.2824044679241891,0.00285504702091,0.2795494209032791,98.98902200737261,rojak,True
peking_duck,0.3637668649375477,0.00285504702091,0.3609118179166377,99.21514373734944,rojak,True
penne_arrabbiata,0.1413938119152791,0.00285504702091,0.13853876489436912,97.98078361263738,rojak,True
pho,0.395002904915845,0.00285504702091,0.392147857894935,99.2772086014106,rojak,True
pita,0.2214726334827755,0.00285504702091,0.2186175864618655,98.71088044784005,rojak,True
pizza,0.3198078040607087,0.00285504702091,0.3169527570397987,99.10726161630251,rojak,True
pizza_margherita,0.2942943620278918,0.00285504702091,0.2914393150069818,99.0298668988299,rojak,True
pozole,0.1813985581478384,0.00285504702091,0.1785435111269284,98.42609166794857,rojak,True
pulled_pork,0.4097443133224298,0.00285504702091,0.4068892663015198,99.30321253326014,rojak,True
quesadilla,0.2259953170821839,0.00285504702091,0.2231402700612739,98.73667868088091,rojak,True
quiche,0.3547504593313247,0.00285504702091,0.3518954123104147,99.19519568028424,rojak,True
raita,0.0280594219823921,0.00285504702091,0.0252043749614821,89.82499702701786,rojak,True
ramen,0.1942964691225439,0.00285504702091,0.1914414221016339,98.53057184528181,rojak,True
ratatouille,0.1346233349410699,0.00285504702091,0.1317682879201599,97.87923317888406,rojak,True
ravioli,0.1935701450266944,0.00285504702091,0.1907150980057844,98.52505817954712,rojak,True
red_curry,0.2608840882697989,0.00285504702091,0.2580290412488889,98.90562623430013,rojak,True
ribs,0.5441126977074214,0.00285504702091,0.5412576506865114,99.4752838827435,rojak,True
risotto,0.1798937436216193,0.00285504702091,0.1770386966007093,98.41292589534677,rojak,True
samgyeopsal,0.274564609930532,0.00285504702091,0.271709562909622,98.96015476224981,rojak,True
samosa,0.2564875522755967,0.00285504702091,0.2536325052546867,98.88686722003483,rojak,True
sashimi,0.0629854347994419,0.00285504702091,0.06013038777853189,95.46713136139961,rojak,True
satay,0.2351079257839079,0.00285504702091,0.2322528787629979,98.7856440775484,rojak,True
scallion_pancake,0.145579254449721,0.00285504702091,0.142724207428811,98.03883662428285,rojak,True
shawarma,0.3031312637237955,0.00285504702091,0.3002762167028855,99.05814828010897,rojak,True
souffle,0.2974611158696626,0.00285504702091,0.2946060688487526,99.04019487973649,rojak,True
soup,0.1268497208512982,0.00285504702091,0.1239946738303882,97.74926818778192,rojak,True
spanakopita,0.2741309781639822,0.00285504702091,0.2712759311430722,98.95850989186559,rojak,True
spring_rolls,0.2903988081034614,0.00285504702091,0.2875437610825514,99.01685305130701,rojak,True
steak,0.7815011469219191,0.00285504702091,0.7786460999010091,99.63467142279252,rojak,True
sundubu_jjigae,0.1660415503417002,0.00285504702091,0.1631865033207902,98.28052254689592,rojak,True
sushi,0.0640243446175479,0.00285504702091,0.061169297596637896,95.54068528469172,rojak,True
sweet_and_sour,0.3685525819004364,0.00285504702091,0.3656975348795264,99.22533522728617,rojak,True
tabbouleh,0.0422978507033765,0.00285504702091,0.0394428036824665,93.25013689009477,rojak,True
taco,0.418539769036379,0.00285504702091,0.415684722015469,99.3178552596129,rojak,True
takoyaki,0.1512882831212846,0.00285504702091,0.1484332361003746,98.11284326716752,rojak,True
tamale,0.1372645889738489,0.00285504702091,0.13440954195293892,97.92004111019928,rojak,True
tandoori_chicken,0.2790571517430138,0.00285504702091,0.2762021047221038,98.97689523343976,rojak,True
tapas,0.1942673219562087,0.00285504702091,0.1914122749352987,98.53035137759629,rojak,True
tempura,0.3320592974999239,0.00285504702091,0.3292042504790139,99.14019964433894,rojak,True
teriyaki,0.2907920050126571,0.00285504702091,0.2879369579917471,99.01818242190471,rojak,True
thai_iced_tea,0.0243759548418201,0.00285504702091,0.021520907820910103,88.28744539675715,rojak,True
tikka_masala,0.2352417448800396,0.00285504702091,0.2323866978591296,98.78633487335937,rojak,True
tiramisu,0.1078809838214075,0.00285504702091,0.1050259368004975,97.35352151994053,rojak,True
tom_kha,0.1858816088936304,0.00285504702091,0.1830265618727204,98.46405083434382,rojak,True
tom_yum,0.1541886022669634,0.00285504702091,0.1513335552460534,98.14834107130257,rojak,True
tteokbokki,0.1505269670921717,0.00285504702091,0.1476719200712617,98.1032986473701,rojak,True
udon,0.1444559831100882,0.00285504702091,0.1416009360891782,98.02358686747215,rojak,True
