dish_id,cuisine,H_mean,E_composite,log_DEI,NDI,log_NDI,log_DEI_N,calorie_kcal,protein_g,meal_role,rank_DEI,rank_DEI_N,rank_shift_N,is_pareto_3d
takoyaki,Japanese,7.144,0.1512882831212846,3.854840946127024,6.541669065852863,1.878192341754873,4.79393711700446,330.8,20.140000000000004,Light Main,75.0,57.0,-18,False
dim_sum_items,Chinese,6.851997286319732,0.1454589858508505,3.852401300713724,6.4470185537217,1.863617784208893,4.784210192818171,438.6,36.2,Full Main,76.0,58.0,-18,False
uttapam,Indian,7.27104725963191,0.1644797233120192,3.788868312304952,7.248387982015187,1.9807790968355057,4.779257860722704,317.6,15.800000000000002,Light Main,86.0,59.0,-27,False
bouillabaisse,French,7.20385843205452,0.177158941750859,3.7053247491773527,8.563801278086991,2.1475441661246046,4.779096832239655,420.0,41.459999999999994,Full Main,101.0,60.0,-41,False
sopes,Mexican,7.601252646923065,0.1586691847014456,3.8692468992518574,6.108821121328479,1.8097338120682747,4.774113805285997,339.8,16.685000000000002,Light Main,71.0,61.0,-10,False
tamagoyaki,Japanese,6.899272764430327,0.1557918010710155,3.790650781224111,7.145378451097542,1.9664657772425918,4.773883669845408,237.8,15.385,Light Main,84.0,62.0,-22,False
fish_tacos,Mexican,7.179400765657425,0.1508035934353108,3.862992915300733,6.166414745112166,1.8191175904377248,4.772551710519596,442.20000000000005,30.310000000000002,Full Main,74.0,63.0,-11,False
dim_sum,Chinese,6.977,0.1486246479702183,3.848950317508264,6.083873114409301,1.805641518559792,4.751771076788161,415.9,33.730000000000004,Full Main,77.0,64.0,-13,False
tamale,Mexican,7.247,0.1372645889738489,3.966432499477112,4.743875649048064,1.5568544490938805,4.744859724024053,429.19999999999993,25.764999999999997,Full Main,56.0,65.0,9,False
ice_cream,Other,7.338,0.0838113240686453,4.472253474472635,1.7144310050488543,0.5390812500865241,4.7417940995158965,699.1999999999999,8.94,Full Main,35.0,66.0,31,False
minestrone,Italian,6.638,0.1196048159520431,4.016372884416538,4.155539071916477,1.4244421604252846,4.72859396462918,316.90000000000003,7.750000000000001,Light Main,49.0,67.0,18,False
sancocho,South American,7.50970695115099,0.1744279861970753,3.762439752930929,6.732211731610407,1.9069037273506684,4.715891616606263,415.75000000000006,40.46,Full Main,89.0,68.0,-21,False
egusi_soup,African,7.321121558337144,0.1448665139118369,3.922706088868224,4.848509813907737,1.5786714028725608,4.712041790304505,751.4000000000001,39.06999999999999,Heavy Main,61.0,69.0,8,False
chilaquiles,Mexican,7.330795008182526,0.1701742379834779,3.763016407022473,6.507292625874537,1.8729234904367604,4.699478152240854,490.79999999999995,22.8,Full Main,88.0,70.0,-18,False
arepa,South American,7.62740522146225,0.1550682589430726,3.8956375903573246,4.932989217979075,1.5959451365567485,4.693610158635699,295.8,11.43,Light Main,65.0,71.0,6,False
tiramisu,Italian,7.448,0.1078809838214075,4.234672201136602,2.476707867776015,0.9069302056335555,4.68813730395338,625.85,10.765,Full Main,39.0,72.0,33,False
gnocchi,Italian,7.211,0.1493656341086219,3.876965696724799,4.9952419952419955,1.6084858584228698,4.681208625936234,601.2499999999999,21.075,Full Main,67.0,73.0,6,False
xiao_long_bao,Chinese,7.102,0.1355547936033021,3.9587557740869945,4.088325789009098,1.4081355437106196,4.662823545942305,447.82,28.46,Full Main,57.0,74.0,17,False
pozole,Mexican,7.237,0.1813985581478384,3.686265445685047,7.03741196587768,1.9512404840984272,4.6618856877342605,405.4,37.2,Full Main,103.0,75.0,-28,False
sardines_grilled,Portuguese,6.879391335725784,0.1916051199035331,3.5808488713548376,8.659648664145935,2.158674151791307,4.660185947250492,311.29999999999995,40.11,Light Main,129.0,76.0,-53,False
polenta,Italian,7.464774969339371,0.1501811407834025,3.90610839400504,4.464163988703867,1.4960819602250248,4.6541493741175515,423.79999999999995,14.13,Full Main,63.0,77.0,14,False
ful_medames,African,7.1423463181394045,0.1732907255875608,3.7188259385648816,6.486704755368144,1.8697546599175476,4.653703268523655,671.1,33.484,Full Main,95.0,78.0,-17,False
sinigang,Filipino,7.081199569086874,0.1879552349351595,3.6289947805682488,7.724321542639486,2.044373992731327,4.651181776933912,400.7,43.18999999999999,Full Main,118.0,79.0,-39,False
tteokbokki,Korean,6.906,0.1505269670921717,3.826003626475735,5.112948764213202,1.631776295357884,4.641891774154677,320.3,12.544999999999998,Light Main,81.0,80.0,-1,False
char_siu_bao,Chinese,7.066637585401535,0.1231648026379331,4.049616739302642,3.225476814878264,1.17108078889372,4.635157133749502,524.6,24.91,Full Main,47.0,81.0,34,False
borscht,Eastern European,7.527890446662902,0.2299651404148642,3.4884423943554266,9.729475939237101,2.2751600344428837,4.626022411576868,288.9,16.46,Light Main,150.0,82.0,-68,True
panna_cotta,Italian,7.57,0.0769170517835727,4.589220754792154,1.0262823559013892,0.02594290957143088,4.60219220957787,664.1,4.8,Full Main,33.0,83.0,50,False
pierogi,Polish,7.398370579957962,0.1424313635192919,3.9501548388891337,3.681755354967348,1.3033896370855873,4.601849657431927,662.05,19.455000000000002,Full Main,58.0,84.0,26,False
bun_rieu,Vietnamese,7.262236066950046,0.1646911696881013,3.786371037376093,5.08570543658263,1.6264337488033602,4.599587911777774,632.6999999999999,20.0,Full Main,87.0,85.0,-2,False
palak_paneer,Indian,7.231,0.2075051881169707,3.550976275843415,8.136648961259176,2.0963784197318325,4.599165485709332,726.0400000000001,32.862,Heavy Main,137.0,86.0,-51,False
congee,Chinese,6.984,0.1429436030199488,3.888926929525424,4.1078533567901045,1.412900594445251,4.59537722674805,221.02,14.31,Light Main,66.0,87.0,21,False
pupusa,Caribbean,7.436244139432907,0.1955979718318633,3.6380597918047375,6.741842838930217,1.9083333057911656,4.59222644470032,463.50000000000006,31.209999999999997,Full Main,115.0,88.0,-27,False
chana_masala,Indian,7.131,0.1795333304373007,3.681845880449806,6.162542119076322,1.8184893740840031,4.591090567491808,941.89,44.892,Heavy Main,104.0,89.0,-15,False
gozleme,Turkish,7.829094552993775,0.1698328688860818,3.830787314843808,4.519692849511149,1.5084440378872102,4.585009333787413,616.4000000000001,21.759999999999998,Full Main,79.0,90.0,11,True
dumplings,Chinese,7.08,0.1552253181381092,3.820151459910101,4.607764657831413,1.52774284957012,4.584022884695161,599.2,36.57,Full Main,83.0,91.0,8,False
spaetzle,German,7.379926035404205,0.139575093353475,3.9679161352041934,3.398011458030568,1.2231903952365708,4.57951133282248,575.65,18.685,Full Main,55.0,92.0,37,False
dosa,Indian,6.872,0.1613769949862088,3.751467252149477,5.196213550355206,1.647930196954422,4.575432350626688,333.20000000000005,12.32,Light Main,93.0,93.0,0,False
