family,dish_1,dish_2,H_1,H_2,H_diff,n_1,n_2,t_stat,p_value,cohens_d,effect_category,significant_005,significant_bonf
Beef,osso_buco,steak,7.166162472009659,6.761370492219925,0.40479197978973414,500,500,3.6567595075962673,0.00026916898179205783,0.23127377798959994,small,True,True
Rice Dish,bibimbap,biryani,7.176191483974457,6.7893765993118285,0.3868148846626287,500,500,3.51927962928046,0.0004534566685404482,0.22257878703118505,small,True,True
Rice Dish,bibimbap,fried_rice,7.176191483974457,6.659910928010941,0.5162805559635162,500,500,4.511713602862884,7.269849506158402e-06,0.2853458227082218,small,True,True
Rice Dish,bibimbap,paella,7.176191483974457,7.110911329269409,0.06528015470504833,500,500,0.6516612653601082,0.5147710760802899,0.04121467722890655,negligible,False,False
Rice Dish,bibimbap,risotto,7.176191483974457,7.0815280063152315,0.09466347765922567,500,500,0.9215451554098054,0.35699285596794417,0.05828363315577649,negligible,False,False
Rice Dish,biryani,fried_rice,6.7893765993118285,6.659910928010941,0.12946567130088749,500,500,1.020844728117854,0.30757638414285116,0.06456388956455507,negligible,False,False
Rice Dish,biryani,paella,6.7893765993118285,7.110911329269409,0.32153472995758037,500,500,2.817405022978083,0.00493925926797821,0.1781883392761954,negligible,True,False
Rice Dish,biryani,risotto,6.7893765993118285,7.0815280063152315,0.29215140700340303,500,500,2.510603263824833,0.012211701976478579,0.15878449229478175,negligible,True,False
Rice Dish,fried_rice,paella,6.659910928010941,7.110911329269409,0.45100040125846785,500,500,3.8064886532180306,0.00014995695130554099,0.24074348063511597,small,True,True
Rice Dish,fried_rice,risotto,6.659910928010941,7.0815280063152315,0.4216170783042905,500,500,3.4947316997413944,0.0004960321535306575,0.2210262396474896,small,True,True
Rice Dish,paella,risotto,7.110911329269409,7.0815280063152315,0.029383322954177338,500,500,0.2740554489343977,0.78409883644378,0.017332788476253237,negligible,False,False
Dessert,brownie,cheesecake,7.362209852695465,7.2683516690731045,0.09385818362236087,500,500,1.0375603052594782,0.2997271762699644,0.06562107548799065,negligible,False,False
Dessert,brownie,creme_brulee,7.362209852695465,7.324001138687134,0.03820871400833159,500,500,0.42969116854922396,0.6675131579823128,0.027176055661497136,negligible,False,False
