from_dish,to_dish,meal_role,E_reduction_pct,H_change,cal_from,cal_to,protein_from,protein_to
steak,ribs,Heavy Main,30.37595659961526,3.1397000000000004,745.02,814.0,65.663,83.08999999999999
dan_tat,gozleme,Full Main,30.371026270854586,-0.6450000000000005,626.6,616.4000000000001,13.579999999999998,21.76
bun_cha,tonkotsu_ramen,Heavy Main,30.350558046538122,3.0267999999999997,896.3000000000001,769.9000000000001,39.245,44.855
tiropita,roti_caribbean,Heavy Main,30.335300573128947,-5.164899999999999,727.1,870.0,29.96,43.31
tempura,doro_wot,Heavy Main,30.33200608988625,0.5371999999999995,749.3,703.7,36.7,57.40000000000002
piri_piri,lobster_roll,Full Main,30.331587592530916,3.3972999999999995,650.85,556.75,62.355,42.03999999999999
kitfo,malai_kofta,Heavy Main,30.32809543564677,1.9564000000000004,743.3000000000001,874.1000000000001,53.470000000000006,30.86
mapo_tofu,dim_sum,Full Main,30.323431682333137,-3.446599999999999,453.19999999999993,415.9,32.055,33.730000000000004
orange_chicken,fesenjan,Heavy Main,30.32194703170609,3.8921,942.65,1036.5,55.20000000000001,60.290000000000006
plov,pasta_carbonara,Heavy Main,30.32194366049485,0.2953000000000001,790.1000000000001,978.22,32.534,56.308
dakgalbi,fish_tacos,Full Main,30.310974371713428,-1.7501000000000007,431.95,442.2000000000001,51.74,30.31
tapas,caldo_verde,Full Main,30.29849774969987,-2.1262999999999996,486.8999999999999,409.55,19.76,13.240000000000002
churrasco,ribs,Heavy Main,30.295580547276497,5.7666,720.85,814.0,65.32,83.08999999999999
mofongo,mapo_tofu,Full Main,30.288404715330554,-0.4001000000000001,514.9,453.19999999999993,19.22,32.055
buffalo_wings,nachos,Heavy Main,30.2744265359428,4.6835,877.2,709.6999999999999,62.02,33.135000000000005
mofongo,jollof_rice,Full Main,30.267898157416262,0.24660000000000082,514.9,655.0500000000001,19.22,31.370000000000005
lomo_saltado,chow_fun,Heavy Main,30.261873782771286,-2.2880000000000003,712.3000000000001,900.95,44.23,27.855
