dish_id,H_mean,E_composite,log_DEI,rank_DEI,rank_invE,rank_shift,abs_rank_shift,cuisine,E_quartile
chana_masala,7.131,0.1795333304373007,3.681845880449806,54.0,54.0,0.0,0.0,Indian,Q2
char_siu,7.017,0.3230840935392318,3.078178414400557,122.0,122.0,0.0,0.0,Chinese,Q4 (High E)
caprese,7.136,0.1118488797934876,4.155759001631012,24.0,24.0,0.0,0.0,Italian,Q1 (Low E)
ceviche,7.301,0.039418546557507,5.221530173698543,8.0,8.0,0.0,0.0,Mexican,Q1 (Low E)
brisket,7.046,0.9792094431862688,1.9734698034127955,158.0,158.0,0.0,0.0,American,Q4 (High E)
bulgogi,7.375,0.6615588732726678,2.4112522019569065,154.0,154.0,0.0,0.0,Korean,Q4 (High E)
ice_cream,7.338,0.0838113240686453,4.472253474472635,20.0,20.0,0.0,0.0,Other,Q1 (Low E)
hummus,7.347,0.0956000970923752,4.341873509952818,21.0,21.0,0.0,0.0,Mediterranean,Q1 (Low E)
coleslaw,6.704,0.013196413963922,6.230514518878259,3.0,3.0,0.0,0.0,American,Q1 (Low E)
gazpacho,7.436,0.0402863263051759,5.21807623510148,9.0,9.0,0.0,0.0,Spanish,Q1 (Low E)
crepe,7.239,0.1703383946222554,3.749451339174017,48.0,48.0,0.0,0.0,French,Q2
larb,7.071,0.2198598697019789,3.4707668040945663,74.0,74.0,0.0,0.0,Thai,Q2
grilled_cheese,7.194,0.1882054209607936,3.643468593264111,59.0,59.0,0.0,0.0,American,Q2
kimchi,7.178,0.0107893163244967,6.500219656400783,1.0,1.0,0.0,0.0,Korean,Q1 (Low E)
onigiri,7.085,0.0556931760085771,4.845877526007914,13.0,13.0,0.0,0.0,Japanese,Q1 (Low E)
moussaka,7.124,0.5167985075858745,2.62357157974356,149.0,149.0,0.0,0.0,Mediterranean,Q4 (High E)
miso_soup,6.965,0.1090529409366971,4.156819425230264,23.0,23.0,0.0,0.0,Japanese,Q1 (Low E)
mac_and_cheese,6.986,0.3013898684318615,3.143258754763064,117.0,117.0,0.0,0.0,American,Q3
lasagna,6.885,0.5943961798471784,2.449554344685682,153.0,153.0,0.0,0.0,Italian,Q4 (High E)
pad_see_ew,6.887,0.2391870645940731,3.360144912714453,88.0,88.0,0.0,0.0,Thai,Q3
osso_buco,7.166,0.934,2.0376264596360567,157.0,157.0,0.0,0.0,Italian,Q4 (High E)
papaya_salad,7.193,0.0108332800613693,6.49824072662393,2.0,2.0,0.0,0.0,Thai,Q1 (Low E)
ribs,7.004,0.5441126977074214,2.555080303102137,150.0,150.0,0.0,0.0,American,Q4 (High E)
ramen,6.942,0.1942964691225439,3.5759600125012225,64.0,64.0,0.0,0.0,Japanese,Q2
raita,6.859,0.0280594219823921,5.49899246238172,5.0,5.0,0.0,0.0,Indian,Q1 (Low E)
taco,7.05,0.418539769036379,2.824010982825598,145.0,145.0,0.0,0.0,Mexican,Q4 (High E)
tabbouleh,7.356,0.0422978507033765,5.158535311757774,10.0,10.0,0.0,0.0,Mediterranean,Q1 (Low E)
tom_kha,7.207,0.1858816088936304,3.657698095195142,58.0,58.0,0.0,0.0,Thai,Q2
thai_iced_tea,7.216,0.0243759548418201,5.690458872628042,4.0,4.0,0.0,0.0,Thai,Q1 (Low E)
tiramisu,7.448,0.1078809838214075,4.234672201136602,22.0,22.0,0.0,0.0,Italian,Q1 (Low E)
