dish_id,H_mean,H_bert,E_composite,E_carbon,E_water,E_energy,log_H,log_E,log_DEI,Z_H,Z_E,DEI_z,cuisine,cook_method,source,DEI_tier,is_pareto,rank_DEI,rank_invE,rank_shift,meal_role,NDI,protein_g,category
chilaquiles,3.6628,7.3308,0.1701742379834779,1.3735,472.44999999999993,0.5,1.29822788225144,-1.770932437498736,3.069160319750176,-1.185910281716938,-0.5520907703951057,-0.6338195113218323,Mexican,pan_fry,expanded,C,False,192,91,-101,Full Main,6.507292625874537,22.8,Other
chile_relleno,7.5825,6.786,0.3181617528849141,2.3685,612.2,1.0,2.025842960580599,-1.1451953686532157,3.1710383292338147,0.7278747553830902,0.3270384918347881,0.4008362635483021,Mexican,unknown,original,C,False,181,256,75,Full Main,7.394796016704144,23.89,Other
chili,2.798,7.0759,0.5128898796778169,9.469,2810.755,0.4,1.0289048762432895,-0.667694116351448,1.6965989925947376,-1.6081470090389534,1.483833337378832,-3.091980346417785,American,simmer,expanded,E,False,329,306,-23,Heavy Main,9.369607702941035,59.77,Soup/Stew
chimichurri,2.798,7.4868,0.0501501265330493,0.2895,644.09,0.0,1.0289048762432895,-2.992734241485665,4.021639117728954,-1.6081470090389534,-1.2651016525596646,-0.3430453564792888,South American,raw,expanded,A,False,47,20,-27,Light Main,1.682215172781211,1.87,Other
chole_bhature,8.3445,7.2896,0.2964050802571009,0.886,781.7199999999999,1.0,2.1216026392013205,-1.2160282458383296,3.3376308850396503,1.0999196053129885,0.1977915917256415,0.902128013587347,Indian,deep_fry,expanded,C,False,149,243,94,Heavy Main,4.171922741364426,33.57,Other
chow_fun,5.4249,7.171,0.372484261208624,5.834,1721.6,0.5,1.6909994660769063,-0.9875604938440836,2.67855995992099,-0.3255687724499123,0.6497448140330323,-0.9753135864829446,Chinese,unknown,original,D,False,264,274,10,Heavy Main,3.4655066277242867,27.855,Other
chow_mein,1.0,6.051,0.19426553805153,1.207,741.2,0.5,0.0,-1.6385293029641408,1.6385293029641408,-2.486016615566456,-0.4089748672117075,-2.0770417483547483,Chinese,unknown,original,E,False,330,124,-206,Heavy Main,3.664901893843579,41.04500000000001,Other
churrasco,2.798,7.0895,0.780599999224528,15.3504,4001.625000000001,0.6,1.0289048762432895,-0.247692425229053,1.2765973014723426,-1.6081470090389534,3.0741823613848616,-4.682329370423815,South American,grill,expanded,E,False,333,326,-7,Heavy Main,6.82893761883843,65.32,Protein Main
churro,9.4826,7.396,0.3234748223106578,1.554,885.8,1.0,2.2494585402674674,-1.1286339970942594,3.3780925373617268,1.6555944658185229,0.3586011193141479,1.2969933465043748,Mexican,unknown,original,C,False,143,259,116,Heavy Main,1.6484727309772629,13.435,Bread/Pastry
churros_mexican,5.9359,7.5436,0.2804111037345016,1.1325,524.0450000000001,1.0,1.781018659361992,-1.2714985249819888,3.052517184343981,-0.0760741289929858,0.1027783550360478,-0.1788524840290337,Mexican,deep_fry,expanded,C,False,197,220,23,Heavy Main,1.356437478880612,11.915,Bread/Pastry
