dish_id,H_mean,E_composite,E_carbon,E_water,E_energy,log_H,log_E,log_DEI,DEI_z,Z_H,Z_E,cuisine,source,cook_method,DEI_tier,is_pareto,rank_DEI,rank_invE,rank_shift,category,protein_g,fat_g,carb_g,fiber_g,calorie_kcal,NDI,meal_role,log_NDI,log_DEI_N,H_controlled,log_DEI_ctrl,category_recipe,family,refinement_alpha
fondue,2.798,0.2317808476658305,3.549,928.04,0.4,1.0289048762432895,-1.461962975882517,2.4908678521258065,-1.4220342291155694,-1.608147009038953,-0.1861127799233835,Swiss,expanded,simmer,E,False,283,165.0,-118,Other,44.75,52.14,42.45,2.16,858.0,6.1003155094064185,Heavy Main,1.808340492695196,4.369997973351054,,,Dairy Main,,
fufu,4.0401,0.0927179836270745,0.315,75.5,0.4,1.3962694441419687,-2.378192827090964,3.7744622712329328,0.010530211273268142,-1.0016943737398372,-1.0122245850131053,African,expanded,boil,B,False,70,36.0,-34,Other,4.0,0.25,50.25,7.5,215.0,4.472968891573543,Light Main,1.4980523697145982,5.0951114184881,,,Mixed/Other,,
ful_medames,4.3571,0.1732907255875608,0.475,1011.785,0.4,1.4718066984441045,-1.7527846002098848,3.2245912986539893,-0.3133427329899361,-0.8469198101863229,-0.5335770771963868,African,expanded,simmer,C,False,175,96.0,-79,Other,33.484,17.131,99.128,24.463,671.1,6.486704755368144,Full Main,1.869754659917548,4.653703268523655,,,Plant Protein,,
gado_gado,7.8508,0.0368416990578821,0.521,422.87,0.0,2.060615437429787,-3.3011249487377263,5.361740386167513,2.203032863400133,0.8588716493938409,-1.344161214006292,Indonesian,expanded,cold,A,False,12,14.0,2,Salad/Cold/Side,22.78,26.77,22.47,6.5600000000000005,397.3,7.577166799416988,Light Main,2.0251393566196945,6.299392490981009,,,Plant Protein,,
galaktoboureko,8.1087,0.258852796943443,1.6639999999999997,664.54,0.8,2.0929375593476065,-1.3514957304252937,3.4444332897729,1.010080906104961,0.9847907659252334,-0.025290140179727607,Greek,expanded,bake,B,False,122,197.0,75,Other,17.52,34.8,93.36,1.62,751.3,2.892537014725222,Heavy Main,1.0621339767973244,3.9086920960009257,,,Dessert,,
galette,5.2167,0.1892821171027535,1.6529999999999998,632.145,0.5,1.651865018073996,-1.6645166937831588,3.316381711857155,0.011357225304025609,-0.4272219716039863,-0.4385791969080119,French,expanded,pan_fry,C,False,153,114.0,-39,Other,26.435,31.300000000000004,77.18499999999999,2.7,704.25,4.105575763722729,Heavy Main,1.4123459921975572,4.405119033400976,,,Starch/Carb,,
gambas_al_ajillo,6.9238,0.2707839602684873,2.8985,1299.535,0.5,1.9349647518592314,-1.3064339706122423,3.241398722471474,0.3606782109405645,0.40626590676258706,0.04558769582202255,Spanish,expanded,saute,C,False,170,208.0,38,Other,49.760000000000005,43.775,7.865,1.715,588.0500000000001,7.214547113365241,Full Main,1.976099420105358,4.282321372172706,,,Seafood Main,Seafood,-0.0752983933632487
ghormeh_sabzi,7.7129,0.4344752359392492,3.1170000000000004,1341.8499999999997,1.2,2.042894251743997,-0.8336163302870099,2.876510582031007,-0.2264638765573712,0.7915422730088899,1.0180061495662611,Persian,expanded,braise,D,False,233,300.0,67,Other,36.62,36.73,31.82,8.79,596.4,8.133139868552345,Full Main,2.09594705669474,3.836252258072037,,,Red Meat Main,,
gozleme,6.9238,0.1698328688860818,1.3955,462.63,0.5,1.9349647518592314,-1.7729404497149643,3.707905201574196,0.9603846020332594,0.40626590676258706,-0.5541186952706724,Turkish,expanded,pan_fry,B,False,77,90.0,13,Other,21.76,22.52,80.49,4.140000000000001,616.4000000000001,4.519692849511149,Full Main,1.5084440378872102,4.585009333787413,,,Starch/Carb,,
gulab_jamun,6.5556,0.2775554568444898,1.2995,446.295,1.0,1.8803196462075353,-1.2817345212772486,3.1620541674847837,0.1406788513595455,0.2264930540799251,0.0858142027203796,Indian,expanded,deep_fry,C,False,182,216.0,34,Other,7.435,35.85,95.335,1.08,723.1499999999999,1.3529527852282468,Heavy Main,0.3022894522222177,3.413699753992555,,,Dessert,,
