dish_id,H_mean,H_median,H_std,H_n,H_q25,H_q75,H_ci95,H_iqr
biltong,7.936849236488342,7.9979472160339355,0.20961293364256983,20,7.9455225467681885,8.050065279006958,0.091866918643236,0.10454273223876953
birria,7.432018946647644,7.965187072753906,1.33554382262163,500,7.654881954193115,8.028224229812622,0.11706557755302593,0.37334227561950684
blini,7.542095698562323,7.99277400970459,1.200905115104147,102,7.846260905265808,8.03006100654602,0.23305835681742434,0.1838001012802124
boat_noodles,7.349054095537766,7.96184778213501,1.5330322421908513,46,7.581611394882202,8.027246475219727,0.4430252143688084,0.4456350803375244
borek,7.338206803569427,7.970098495483398,1.4630865395355634,208,7.6638970375061035,8.03443455696106,0.1988357256908428,0.37053751945495605
borscht,7.527890446662902,7.984659433364868,1.1894265842567158,500,7.779033422470093,8.035460948944092,0.10425783690842118,0.256427526473999
bossam,7.472921006533564,7.985716342926025,1.1483644680468246,49,7.750101089477539,8.038887977600098,0.3215420510531109,0.2887868881225586
bouillabaisse,7.20385843205452,7.962230682373047,1.5898700347039734,500,7.435946941375732,8.029115676879883,0.13935825294113094,0.5931687355041504
bratwurst,7.149126127958298,7.941607713699341,1.5516405171191678,500,7.072257995605469,8.026102304458618,0.1360072879785183,0.9538443088531494
budae_jjigae,7.262259967085244,7.963327884674072,1.434134710257368,69,7.213860988616943,8.029593467712402,0.3383930798471215,0.815732479095459
bun_rieu,7.262236066950046,7.9281885623931885,1.4178734144710183,246,7.349457502365112,8.029590129852295,0.17718460194311153,0.6801326274871826
caldo_verde,7.2614961231456085,7.9895853996276855,1.3686638308430352,17,7.261536598205566,8.03279972076416,0.6506214858491495,0.7712631225585938
callaloo,7.425584492860017,7.941853046417236,1.3413847999629829,189,7.6659674644470215,8.030417442321777,0.19123991854779984,0.36444997787475586
cannoli,7.345049713134766,7.953588962554932,1.410273495487878,500,7.625253677368164,8.02836799621582,0.1236159221888638,0.40311431884765625
carnitas,7.245420201301575,7.959055185317993,1.5191394356860324,500,7.366723895072937,8.022307872772217,0.1331584425833898,0.6555839776992798
causa,7.329247765745853,7.968344688415527,1.410586805709271,163,7.472463607788086,8.031536102294922,0.21655194381263612,0.5590724945068359
char_kway_teow,7.19737764634192,7.911874294281006,1.5030280273668095,64,7.303964138031006,8.011514902114868,0.3682418667048683,0.7075507640838623
char_siu_bao,7.066637585401535,7.890444755554199,1.606705080319539,500,6.890368223190308,8.026383399963379,0.14083390975203897,1.1360151767730713
chilaquiles,7.330795008182526,7.97397255897522,1.5164286559511508,500,7.7000298500061035,8.026586771011353,0.13292083226322823,0.326556921005249
chili,7.075906547828702,7.923542499542236,1.6643901150016809,277,7.167537689208984,8.0260009765625,0.19600687951164888,0.8584632873535156
chimichurri,7.4868385598659515,7.9707441329956055,1.1731384610242965,500,7.666297435760498,8.031638860702515,0.10283011995809674,0.3653414249420166
chole_bhature,7.289588176098066,7.904305458068848,1.3318597790137505,97,7.372687816619873,7.993286609649658,0.2650505489469949,0.6205987930297852
churrasco,7.089513427972793,7.921742916107178,1.6496092533819433,500,7.062790751457214,8.025370836257935,0.14459462633348824,0.9625800848007202
churros_mexican,7.543559185504913,7.982565879821777,1.181635734257812,500,7.797641158103943,8.028658628463745,0.10357493879657911,0.23101747035980225
cobb_salad,7.0837995507717135,7.9365553855896,1.660842392117552,500,7.1712281703948975,8.017668008804321,0.1455792543565777,0.8464398384094238
conch_fritters,7.1416408004760745,7.952407598495483,1.6764251410969504,500,7.454572916030884,8.022868394851685,0.14694514252755234,0.5682954788208008
coquito,7.585839964308828,7.976197719573975,1.0616976803646596,53,7.771467208862305,8.020853996276855,0.2858373685510931,0.24938678741455078
couscous,7.368318971157074,7.9450294971466064,1.2890415750830835,500,7.4471515417099,8.02666163444519,0.11298947583819961,0.5795100927352905
coxinha,7.36263070865111,7.9942991733551025,1.5786505891309668,66,7.732413411140442,8.03562331199646,0.38086417131300404,0.30320990085601807
croquetas,7.393125408411026,7.971824407577515,1.3754746485431313,500,7.63416063785553,8.02900743484497,0.12056566876642688,0.3948467969894409
cubano_sandwich,7.529457939863205,7.983975887298584,1.203733698590061,500,7.798907518386841,8.030595302581787,0.10551191077270107,0.2316877841949463
currywurst,7.558553283555167,7.984049320220947,1.082175356464608,280,7.726812243461609,8.034798383712769,0.12675780074358822,0.30798614025115967
dakgalbi,7.097912706434727,7.801095008850098,1.65202693273205,16,7.16145932674408,7.977769374847412,0.8094931970387045,0.8163100481033325
dan_tat,7.338909786822749,7.923532962799072,1.28911526339116,255,7.332948207855225,8.033720016479492,0.15822595722105828,0.7007718086242676
