dish_id,H_foodcom_bert,H_foodcom_bert_std,n_foodcom_bert,H_foodcom_bert_ci95,H_foodcom_bert_cal,H_foodcom_star
buttermilk_pie,7.374982319747975,1.1976434239517244,307,0.13397211630767872,8.861147301396466,8.553745928338762
cabbage_roll,7.244671030523388,1.2294912500818795,239,0.15587718822911792,8.744621169428303,8.443514644351465
caesar_salad,7.492493342294237,1.0728182517753908,878,0.07096349014413118,8.966227260334945,9.015945330296127
caldo_de_pollo,7.2228867667061945,1.1905112903936108,7,0.8819431060709061,8.725141383636169,8.0
caldo_de_queso,6.850265884399414,2.5790713719187615,5,2.260655731322125,8.391938708993447,8.8
caldo_verde,7.497756838798523,0.9263388582039624,28,0.3431207148016493,8.970933950690952,8.285714285714286
california_roll,7.285924204464616,1.2568088955708847,29,0.4574317636584465,8.781510320164095,9.172413793103448
calzone,7.690684939330479,0.7266908563834893,53,0.1956445850644161,9.14345288927814,9.622641509433961
candied_carrots,7.4860214127434626,1.0276231026297133,36,0.3356902135257063,8.960439972668544,9.166666666666666
cannoli,6.696775118509929,1.5938008566083777,36,0.5206416131587367,8.254685172877267,8.444444444444445
capirotada,7.90002555847168,0.13663100738757636,5,0.1197623583783355,9.330648125834378,8.0
caponata,7.56406946182251,0.9139288374582257,10,0.5664589621528497,9.030231602549271,9.6
caprese,7.766860204584458,0.7069853135267204,17,0.33607948481911354,9.21156985032207,9.294117647058824
caramel_shortbread,7.476664151085748,1.196205006722979,45,0.34950663944760135,8.952072581682883,8.488888888888889
caramel_tart,6.781036819730486,1.6043848621994456,14,0.8404281859227587,8.330033135242727,7.571428571428571
carne_asada,7.238861399538377,1.3803559418394917,136,0.23199450919815748,8.739426118171624,8.323529411764707
carnitas,7.454045659965939,1.0997196872868513,36,0.35924176451370476,8.931846818459828,9.0
carrot_bread,6.988049074715259,1.5099874198849599,204,0.20721172049737943,8.515146316816804,8.303921568627452
carrot_cake,7.322959192752839,1.2771158823483117,1000,0.07915646247424737,8.814627511762707,8.914
carrot_cake_cookie,6.7298536117260275,2.0144725537032024,13,1.0950797544129147,8.284264412624976,8.76923076923077
carrot_pudding,7.138030799659523,1.3144508179487304,37,0.4235449913336009,8.649262020664592,8.0
carrot_salad,7.5825090453440795,0.8691210796735116,687,0.06499171335233096,9.04672052960738,8.914119359534206
challah,7.7228080204554965,0.49463254928682765,21,0.21155783584094723,9.172177786504403,9.714285714285714
chalupa,6.8239545822143555,1.5728441810233407,9,1.0275915316019157,8.368410783754475,9.11111111111111
chana_masala,7.2197335591683025,1.2249174502709594,52,0.3329363555122542,8.722321742453355,9.038461538461538
chapati,6.589058478673299,2.2943580672157067,6,1.8358688069594589,8.158363484530392,8.333333333333334
char_siu,7.489167983715351,0.9229534356724924,52,0.2508616014183977,8.96325367934353,9.076923076923077
char_siu_bao,7.55467422803243,0.5134682052974309,6,0.4108601333596391,9.021830256365,9.666666666666666
charleston_red_rice,7.364831447601318,0.7059735433839756,13,0.3837715897840133,8.85207025308859,8.76923076923077
cheese_roll,7.582870231252728,0.8487979072484996,330,0.09158058249997698,9.047043506972631,9.303030303030303
cheesecake,7.540270969785493,1.0136764518120178,87,0.21300794513048257,9.008950666413574,8.988505747126437
cherry_pie,7.387717847752526,1.1715646865950882,533,0.09946235535940225,8.872535584221179,8.893058161350844
chess_pie,7.278387156533606,1.2926103883625222,162,0.1990518443605444,8.774770589116345,8.530864197530864
chicken_and_mushroom_pie,7.994026482105255,0.05541630090930636,8,0.038401537318019874,9.41470503370195,9.0
chicken_curry,7.28040503180027,1.1926127486121036,1000,0.07391890398249402,8.776575000698932,8.888
chicken_feet,6.585959602804745,1.6651542443741694,17,0.7915640818647361,8.155592427467255,5.529411764705882
chicken_kiev,7.367583488976514,1.26565493293587,108,0.23870389730235608,8.854531166017747,9.185185185185185
chicken_riggies,7.508311156070594,0.9698294326441382,33,0.3308982432506104,8.98037176513203,8.424242424242424
chicken_salad,7.640254912018776,0.8040132331437096,1000,0.04983325647874204,9.098357671107491,9.186
chicken_sandwich,7.503688620605957,0.992201030632205,469,0.08979854994931381,8.976238230878897,9.010660980810234
chicken_tikka,7.098999117550097,1.519994324305029,95,0.3056583293177351,8.61435935822079,8.715789473684211
chicken_tikka_masala,7.115685036307887,1.4538105151076584,76,0.32685646610751956,8.62928013433121,8.289473684210526
chiffon_pie,7.357545051309797,1.2960765416364448,36,0.4233850036012386,8.845554658155178,8.722222222222221
chilaquiles,7.270790497461955,1.1902902001194742,12,0.673470080103697,8.767977552973676,8.666666666666666
chile_relleno,7.414101057246252,1.1108652419629381,197,0.15512590799097098,8.896127809956212,8.771573604060913
chili,7.310607028358123,1.1232626795440321,136,0.1887852010794811,8.803582037906098,8.617647058823529
chili_con_carne,7.385891036350195,1.0977828065027309,479,0.09831159434312943,8.870902024551746,8.997912317327765
chimichanga,7.789942673274449,0.3540084384770793,7,0.26225312126402506,9.232210508615958,8.285714285714286
chimichurri,7.595883697703265,0.9114395210925997,69,0.2150598715943224,9.05868032614618,8.840579710144928
chocolate_brownie,6.9369698241017925,1.6333589749087203,667,0.12395806767652026,8.469470554315818,8.296851574212894
