dish_id,H_mean,H_median,H_std,H_n,H_q25,H_q75,H_ci95,H_iqr,cuisine,cook_method_h,E_carbon,E_carbon_ingredients,E_carbon_cooking,E_water,E_water_ingredients,E_energy,E_land,cook_method_e,n_ingredients,total_grams,missing_ingredients,E_carbon_norm,E_water_norm,E_energy_norm,E_composite_equal,E_composite_carbon_first,E_composite_water_first,E_composite_energy_first,E_composite,DEI,log_H,log_E,log_DEI,Z_H,Z_E,DEI_z,DEI_equal,log_DEI_equal,DEI_carbon_first,log_DEI_carbon_first,DEI_water_first,log_DEI_water_first,DEI_energy_first,log_DEI_energy_first,DEI_tier
bulgogi,7.375,7.943,1.274,500,7.478,8.022,0.112,0.544,Korean,grill,12.4425,12.148,0.285,3274.3,3273.3,0.6,65.473,grill,7,280,,0.7872287924311194,0.7914478273868845,0.406,0.6615588732726678,0.6929763530622809,0.6940311118012221,0.597669154954501,0.6615588732726678,11.147911845723703,1.9980959022258835,-0.41315629973102275,2.4112522019569065,1.1577450829393987,2.5680696170610644,-1.4103245341216657,11.147911845723703,2.4112522019569065,10.642498791495091,2.3648553051655563,10.62632477794782,2.363334392021278,12.339602836892995,2.512813832942518,E
bun_bo_hue,6.883,7.762,1.693,500,6.476,7.999,0.148,1.523,Vietnamese,boil,7.3015,7.102,0.19,2273.4,2272.4,0.4,33.94,boil,8,380,,0.46186984593748,0.5445644807653975,0.274,0.4268114422342925,0.4355760431600893,0.4562497018670687,0.3886085816757194,0.4268114422342925,16.12655922242513,1.929054603416227,-0.8514129505552047,2.7804675539714316,-0.648183918111612,1.104631433700323,-1.752815351811935,16.12655922242513,2.7804675539714316,15.802062827110671,2.760140490188769,15.086037255111252,2.7137696309439177,17.711909423924222,2.8742372621277887,E
bun_cha,7.232,7.93,1.462,130,7.322,8.029,0.251,0.706,Vietnamese,grill,1.947,1.6525,0.285,1162.3,1161.3,0.6,2.5615,grill,8,360,,0.1229991050310043,0.2704990532190552,0.406,0.2664993860833531,0.2306243158202659,0.2674993028672787,0.3013745395625149,0.2664993860833531,27.137023113959614,1.9785156230898755,-1.322383339006084,3.3008989620959595,0.6328510846664431,0.10523057471497521,0.5276205099514679,27.137023113959614,3.3008989620959595,31.3583586113971,3.4454808539146144,27.03558447622646,3.2971539418429785,23.996718536669377,3.177917093361094,D
burrito,6.827,7.922,1.913,500,6.476,8.017,0.168,1.541,Mexican,grill,2.2195,1.925,0.285,1211.6,1210.6,0.6,4.706,grill,7,400,,0.1402448379466854,0.2826594578433326,0.406,0.276301431930006,0.2422872834341758,0.2778909384083377,0.3087260739475045,0.276301431930006,24.70852196571116,1.9208853384361433,-1.2862628645471725,3.2071482029833156,-0.8537368125401825,0.16633747630530368,-1.0200742888454861,24.70852196571116,3.2071482029833156,28.17729392659086,3.338516473704492,24.567191859880978,3.2014118885841905,22.113454534976714,3.096186225766288,D
butter_chicken,7.297,7.966,1.555,500,7.656,8.026,0.136,0.37,Indian,simmer,2.5309,2.3314,0.19,1290.8,1289.8,0.4,5.0115,simmer,10,420,,0.1599524387905133,0.3021950368746262,0.274,0.2453824918883798,0.2240249786139132,0.2595856281349414,0.2525368689162849,0.2453824918883798,29.737247934213975,1.987463304783483,-1.4049370944486421,3.392400399232125,0.8714392656996033,-0.02641418553742058,0.8978534512370239,29.737247934213975,3.392400399232125,32.572260669984125,3.483461026458289,28.110184883605235,3.33613196204392,28.894790813372005,3.3636613301993936,C
ca_phe_sua_da,7.43,7.962,1.303,500,7.637,8.019,0.114,0.382,Vietnamese,cold,0.513,0.5035,0.0,336.3,335.3,0.0,0.9,cold,3,95,,0.0322454132838969,0.0667567769583416,0.01,0.0363340634140795,0.0353119008815338,0.043939741800145,0.0297505475605596,0.0363340634140795,204.4913038028349,2.005525858729668,-3.314999591657493,5.32052545038716,1.3596273899674578,-1.3296423020182189,2.6892696919856767,204.4913038028349,5.32052545038716,210.4106495123712,5.349061095135726,169.0952130259327,5.130461946964116,249.74330253504226,5.5204336004925825,A
caesar_salad,6.747,7.839,1.902,500,6.261,8.004,0.167,1.744,Other,raw,0.752,0.7425,0.0,471.8,470.8,0.0,2.513,raw,6,240,,0.0473710285750815,0.1001793900737492,0.01,0.0525168062162769,0.051230361805978,0.064432452180645,0.0418876046622076,0.0525168062162769,128.47315909147682,1.9090979616452883,-2.9466220422062492,4.855720003851538,-1.1473838045809976,-1.2287575186428028,0.08137371406180516,128.47315909147682,4.855720003851538,131.69924556755134,4.880520880316361,104.7143135431798,4.651235818591546,161.073903709929,5.081863288916981,A
caprese,7.136,7.977,1.743,500,7.552,8.028,0.153,0.476,Italian,raw,2.474,2.4645,0.0,751.6,750.6,0.0,9.2715,raw,4,240,,0.1563514031835325,0.1691952361969304,0.01,0.1118488797934876,0.1229745106409989,0.1261854688943483,0.0863866598451157,0.1118488797934876,63.80037076075834,1.9651523952777084,-2.190606606353303,4.1557590016310115,0.28047469421746507,-0.8588756350081967,1.1393503292256617,63.80037076075834,4.1557590016310115,58.02828539673737,4.060930570923632,56.551677958852615,4.035154874250172,82.60534685325571,4.414074410311524,A
ceviche,7.301,7.954,1.513,500,7.617,8.019,0.133,0.403,Mexican,raw,0.9145,0.905,0.0,270.8,269.8,0.0,0.6105,raw,6,250,,0.0576551812312216,0.0506004584412995,0.01,0.039418546557507,0.0439777052259357,0.0422140245284552,0.0320639099181302,0.039418546557507,185.21738211094882,1.9880113250739486,-3.2335188486245943,5.221530173698543,0.8861216153016457,-1.3104133358563423,2.196534951157988,185.21738211094882,5.221530173698543,166.01593835992745,5.112083797963904,172.95200070485146,5.15301410342758,227.70148801695976,5.428035508037185,A
chana_masala,7.131,7.943,1.674,500,7.425,8.015,0.147,0.59,Indian,simmer,0.5939,0.3944,0.19,986.9,985.9,0.4,1.3585,simmer,9,345,,0.037365339129323,0.2272346521825791,0.274,0.1795333304373007,0.1439913326103063,0.1914586608736203,0.2031499978279755,0.1795333304373007,39.71964416095091,1.9644514770461665,-1.7173944034036395,3.681845880449806,0.26212175721491454,-0.43692422512989615,0.6990459823448107,39.71964416095091,3.681845880449806,49.52381418192106,3.9024536484700123,37.245638131288786,3.6175348408225525,35.102141650222556,3.558262144286296,B
