dish_id,H_pairwise,H_bert,E_composite,E_carbon,E_water,E_energy,cuisine,cook_method,n_ingredients,total_grams,log_H_pw,log_E,log_DEI_pw,Z_H_pw,Z_E,DEI_z_pw,log_H_bert,log_DEI_bert,Z_H_bert,DEI_z_bert,rank_DEI_pw,rank_DEI_bert,rank_shift,is_pareto_pw
ca_phe_sua_da,9.9583,7.43,0.0363340634140795,0.513,336.3,0.0,Vietnamese,cold,3,95,2.298406374297628,-3.314999591657493,5.6134059659551205,1.618718867822557,-1.3296423020182189,2.948361169840776,2.005525858729668,5.32052545038716,1.3596273899674578,2.6892696919856767,4.0,6.0,2.0,True
caesar_salad,2.7727,6.747,0.0525168062162769,0.752,471.8,0.0,Other,raw,6,240,1.0198215747010473,-2.9466220422062492,3.9664436169072967,-1.9660453468446397,-1.2287575186428028,-0.7372878282018369,1.9090979616452883,4.855720003851538,-1.1473838045809976,0.08137371406180516,33.0,12.0,-21.0,False
caprese,5.5521,7.136,0.1118488797934876,2.474,751.6,0.0,Italian,raw,4,240,1.7141762345696754,-2.190606606353303,3.9047828409229783,-0.5794535997050816,-0.8588756350081967,0.27942203530311516,1.9651523952777084,4.1557590016310115,0.28047469421746507,1.1393503292256617,36.0,24.0,-12.0,False
ceviche,10.0,7.301,0.039418546557507,0.9145,270.8,0.0,Mexican,raw,6,250,2.302585092994046,-3.2335188486245943,5.53610394161864,1.6395222339647895,-1.3104133358563423,2.9499355698211316,1.9880113250739486,5.221530173698543,0.8861216153016457,2.196534951157988,6.0,8.0,2.0,True
chana_masala,7.2672,7.131,0.1795333304373007,0.5939,986.9,0.4,Indian,simmer,9,345,1.9833710729291023,-1.7173944034036395,3.7007654763327418,0.2761783732095961,-0.43692422512989615,0.7131025983394923,1.9644514770461665,3.681845880449806,0.26212175721491454,0.6990459823448107,46.0,54.0,8.0,False
char_siu,6.0879,7.017,0.3230840935392318,1.941,1316.9,0.8,Chinese,roast,6,260,1.8063031946688959,-1.1298426381304052,2.9361458327993013,-0.3121527944530937,0.4579851123000661,-0.7701379067531597,1.9483357762701516,3.078178414400557,-0.15632520644324602,-0.6143103187433121,120.0,122.0,2.0,False
cheesecake,7.0585,7.268,0.4162269009143125,5.2365,1604.2,0.8,Other,bake,6,430,1.9542325643421172,-0.8765247325262424,2.8307572968683594,0.1720617661620229,1.0386463796679914,-0.8665846135059685,1.9834811505339247,2.8600058830601673,0.7649922310848083,-0.27365414858318315,127.0,140.0,13.0,False
chicken_salad,2.5094,6.953,0.0681619356522414,0.9585,609.1,0.0,Other,raw,6,290,0.9200436807434622,-2.6858689982105344,3.6059126789539966,-2.097400893733121,-1.1312242689755523,-0.9661766247575689,1.9391732211168808,4.625042219327415,-0.39124280007589807,0.7399814688996542,55.0,17.0,-38.0,False
chicken_sandwich,3.1131,6.743,0.2305453291832126,1.5495,827.0,0.6,American,deep_fry,5,295,1.1356190142972054,-1.4673077799872065,2.6029267942844116,-1.7962260222687219,-0.11891049248072444,-1.6773155297879974,1.908504929752445,3.3758127097396518,-1.1620661541830366,-1.043155661702312,141.0,85.0,-56.0,False
chile_relleno,7.9222,6.786,0.3181617528849141,2.3685,612.2,1.0,Mexican,deep_fry,6,310,2.069668945031008,-1.1451953686532155,3.214864313684224,0.6029458749640794,0.42729876470864225,0.1756471102554371,1.9148616663620384,3.060057035015254,-1.0042308959611015,-1.4315296606697436,94.0,124.0,30.0,False
chow_fun,6.0409,7.171,0.372484261208624,5.834,1721.6,0.5,Chinese,stir_fry,6,320,1.798553007468856,-0.9875604938440837,2.78611350131294,-0.33560023351028595,0.7659505341665703,-1.1015507676768563,1.9700451149004379,2.9576056087445215,0.4089452532353221,-0.3570052809312482,131.0,131.0,0.0,False
chow_mein,2.2025,6.051,0.19426553805153,1.207,741.2,0.5,Chinese,stir_fry,7,350,0.7895930788281976,-1.6385293029641408,2.4281223817923383,-2.250507681959764,-0.34508221837184755,-1.9054254635879164,1.8002235476401844,3.4387528506043252,-3.702112635336085,-3.3570304169642378,149.0,78.0,-71.0,False
churro,9.7885,7.396,0.3234748223106578,1.554,885.8,1.0,Mexican,deep_fry,6,215,2.2812082272344605,-1.1286339970942594,3.40984222432872,1.5340087582074262,0.46042095324159676,1.0735878049658294,2.0009393135248783,3.1295733106191377,1.2348274183501122,0.7744064651085154,75.0,120.0,45.0,False
churros_spanish,8.7482,7.323,0.3234748223106578,1.554,885.8,1.0,Spanish,deep_fry,6,215,2.168847964921723,-1.1286339970942594,3.2974819620159823,1.0150221443521759,0.46042095324159676,0.554601191110579,1.9910200800789328,3.119654077173192,0.9668745381128706,0.5064535848712739,88.0,121.0,33.0,False
clam_chowder,8.29,6.858,0.1957745939328879,2.291,749.0,0.4,American,simmer,7,335,2.1150499691472033,-1.6307913124993088,3.745841281646512,0.7864345576286573,-0.33567461809338806,1.1221091757220454,1.9254158540407285,3.5562071665400374,-0.7399486031243679,-0.4042739850309799,43.0,65.0,22.0,False
club_sandwich,5.3447,6.95,0.0745333152011155,1.1245,644.0,0.0,American,raw,6,245,1.6761054156801145,-2.596509069645958,4.272614485326073,-0.6829216605659671,-1.0915044728045695,0.4085828122386024,1.9387416595767009,4.535250729222659,-0.402254562277429,0.6892499105271406,20.0,19.0,-1.0,False
