dish_id,H_mean,H_median,H_std,H_n,H_q25,H_q75,H_ci95,H_iqr,cuisine,cook_method,H_bert
mapo_tofu,7.9222,7.744,1.757,500,6.736,8.003,0.154,1.267,Chinese,stir_fry,6.879
massaman_curry,9.0043,7.971,1.517,500,7.603,8.031,0.133,0.427,Thai,simmer,7.313
minestrone,3.7548,7.831,2.009,500,5.579,8.003,0.176,2.424,Italian,simmer,6.638
miso_soup,4.4745,7.861,1.719,500,6.701,8.016,0.151,1.315,Japanese,boil,6.965
moussaka,8.0445,7.936,1.683,500,7.316,8.013,0.148,0.697,Mediterranean,bake,7.124
naan,4.2057,7.952,1.559,500,7.42,8.019,0.137,0.599,Indian,bake,7.203
nachos,8.4138,7.926,1.95,500,6.485,8.01,0.171,1.526,Mexican,bake,6.823
okonomiyaki,5.0732,7.921,1.509,377,7.327,8.02,0.152,0.692,Japanese,pan_fry,7.216
onigiri,6.63,7.886,1.636,500,7.13,8.014,0.143,0.884,Japanese,raw,7.085
orange_chicken,3.6724,7.742,2.172,500,4.768,8.004,0.19,3.236,Chinese,deep_fry,6.438
osso_buco,8.8757,7.964,1.591,500,7.362,8.021,0.139,0.659,Italian,braise,7.166
pad_see_ew,7.3499,7.902,1.805,500,6.498,8.023,0.158,1.525,Thai,stir_fry,6.887
pad_thai,6.6737,7.919,1.956,500,6.257,8.011,0.171,1.754,Thai,stir_fry,6.777
paella,8.4967,7.942,1.657,500,7.128,8.014,0.145,0.886,Spanish,simmer,7.111
palak_paneer,7.8001,7.953,1.608,500,7.555,8.018,0.141,0.463,Indian,simmer,7.231
pancake,5.8499,7.94,1.63,500,7.364,8.023,0.143,0.659,American,pan_fry,7.162
paneer_tikka,9.0043,7.934,1.674,500,7.245,8.015,0.147,0.769,Indian,grill,7.1
panna_cotta,8.1261,7.971,1.047,500,7.717,8.026,0.092,0.31,Italian,cold,7.57
papaya_salad,5.653,7.961,1.615,500,7.442,8.025,0.142,0.583,Thai,raw,7.193
pasta_bolognese,7.5553,7.944,1.737,500,7.177,8.015,0.152,0.838,Italian,simmer,7.058
pasta_carbonara,4.7848,7.958,1.709,500,7.311,8.021,0.15,0.71,Italian,boil,7.116
patatas_bravas,6.4532,7.928,1.34,500,7.39,8.019,0.117,0.629,Spanish,deep_fry,7.31
peking_duck,9.6586,7.882,1.614,500,7.064,8.018,0.141,0.954,Chinese,roast,7.07
penne_arrabbiata,7.9222,7.923,1.522,193,7.395,8.023,0.215,0.629,Italian,boil,7.216
pho,8.6639,7.916,1.767,500,6.884,8.016,0.155,1.132,Vietnamese,boil,6.974
pita,5.3447,7.926,1.741,500,7.193,8.021,0.153,0.827,Mediterranean,bake,7.042
pizza,6.2269,7.92,1.892,500,6.465,8.014,0.166,1.549,Italian,bake,6.838
pizza_margherita,3.5873,7.937,1.61,500,7.116,8.028,0.141,0.912,Italian,bake,7.126
pozole,5.1287,7.956,1.474,500,7.21,8.019,0.129,0.809,Mexican,simmer,7.237
pulled_pork,8.706,7.908,1.779,500,7.055,8.011,0.156,0.956,American,slow_cook,6.972
quesadilla,8.1261,7.911,1.985,500,6.251,8.011,0.174,1.76,Mexican,pan_fry,6.777
quiche,6.8464,7.965,1.515,500,7.692,8.02,0.133,0.328,French,bake,7.306
raita,6.5861,7.871,1.867,500,6.821,8.002,0.164,1.181,Indian,raw,6.859
ramen,3.1131,7.914,1.81,500,6.767,8.015,0.159,1.248,Japanese,boil,6.942
ratatouille,3.4085,7.933,1.502,500,7.394,8.018,0.132,0.624,French,simmer,7.242
ravioli,7.1841,7.961,1.569,500,7.533,8.025,0.138,0.492,Italian,boil,7.222
red_curry,7.5144,7.945,1.601,500,7.385,8.018,0.14,0.633,Thai,simmer,7.176
ribs,8.833,7.917,1.775,500,7.013,8.015,0.156,1.002,American,smoke,7.004
risotto,8.7482,7.941,1.733,500,7.24,8.016,0.152,0.776,Italian,simmer,7.082
samgyeopsal,5.2916,7.929,1.52,500,7.401,8.022,0.133,0.622,Korean,grill,7.223
samosa,7.0585,7.965,1.431,500,7.633,8.019,0.125,0.386,Indian,deep_fry,7.343
sashimi,6.7171,7.937,1.623,500,7.236,8.017,0.142,0.781,Japanese,raw,7.112
satay,7.6778,7.918,1.659,500,7.003,8.024,0.145,1.021,Thai,grill,7.066
scallion_pancake,8.706,7.775,1.658,500,6.808,8.003,0.145,1.195,Chinese,pan_fry,6.964
shawarma,8.167,7.952,1.716,500,7.516,8.017,0.15,0.501,Mediterranean,roast,7.158
souffle,6.1345,7.953,1.215,500,7.482,8.024,0.106,0.542,French,bake,7.419
soup,4.6016,7.899,1.968,500,6.109,8.013,0.172,1.905,Other,simmer,6.733
spanakopita,5.4494,7.973,1.474,500,7.755,8.021,0.129,0.267,Mediterranean,bake,7.365
spring_rolls,7.4323,7.913,1.921,500,6.637,8.014,0.168,1.378,Chinese,deep_fry,6.845
steak,6.0409,7.864,1.896,500,6.265,8.016,0.166,1.752,American,grill,6.761
sundubu_jjigae,8.0445,7.837,1.525,280,7.124,8.0,0.179,0.876,Korean,boil,7.119
sushi,5.1287,7.934,1.78,500,6.978,8.023,0.156,1.045,Japanese,raw,6.974
sweet_and_sour,5.0732,7.744,2.188,500,5.189,8.004,0.192,2.815,Chinese,deep_fry,6.416
tabbouleh,7.1423,7.964,1.393,500,7.556,8.023,0.122,0.467,Mediterranean,raw,7.356
taco,7.0585,7.91,1.719,500,7.017,8.002,0.151,0.986,Mexican,grill,7.05
takoyaki,6.7171,7.896,1.56,500,7.16,8.014,0.137,0.854,Japanese,pan_fry,7.144
tamale,8.3312,7.957,1.577,500,7.522,8.02,0.138,0.498,Mexican,steam,7.247
tandoori_chicken,5.2379,7.95,1.692,500,6.989,8.017,0.148,1.027,Indian,roast,7.061
tapas,7.4734,7.948,1.232,500,7.468,8.025,0.108,0.557,Spanish,stir_fry,7.397
tempura,7.8001,7.904,1.748,500,6.85,8.017,0.153,1.167,Japanese,deep_fry,6.976
teriyaki,4.2749,7.878,2.003,500,6.042,8.012,0.176,1.97,Japanese,grill,6.712
thai_iced_tea,6.2269,7.947,1.529,500,7.352,8.016,0.134,0.664,Thai,cold,7.216
tikka_masala,6.9741,7.96,1.781,500,7.289,8.02,0.156,0.731,Indian,simmer,7.079
tiramisu,8.29,7.973,1.315,500,7.718,8.028,0.115,0.31,Italian,cold,7.448
tom_kha,5.8981,7.957,1.595,500,7.356,8.027,0.14,0.671,Thai,boil,7.207
tom_yum,7.7593,7.914,1.647,500,7.1,8.017,0.144,0.917,Thai,boil,7.086
tteokbokki,5.8981,7.81,1.718,500,6.467,8.008,0.151,1.54,Korean,simmer,6.906
udon,6.3182,7.866,1.793,500,6.796,8.005,0.157,1.209,Japanese,boil,6.941
vindaloo,7.9222,7.958,1.467,500,7.586,8.017,0.129,0.431,Indian,simmer,7.325
waffle,5.2916,7.944,1.466,500,7.441,8.021,0.128,0.58,American,bake,7.266
wonton_soup,5.8499,7.846,1.948,500,6.226,8.01,0.171,1.784,Chinese,boil,6.753
xiao_long_bao,8.7482,7.92,1.609,500,6.974,8.028,0.141,1.055,Chinese,steam,7.102
yakitori,3.314,7.845,1.81,500,6.359,8.009,0.159,1.649,Japanese,grill,6.842
