dish_id,H_mean,H_median,H_std,H_n,H_q25,H_q75,H_ci95,H_iqr,cuisine,cook_method_h,H_bert,E_carbon,E_carbon_ingredients,E_carbon_cooking,E_water,E_water_ingredients,E_energy,E_land,cook_method_e,n_ingredients,total_grams,missing_ingredients,E_carbon_norm,E_water_norm,E_energy_norm,E_composite_equal,E_composite_carbon_first,E_composite_water_first,E_composite_energy_first,E_composite,DEI,log_H,log_E,log_DEI,Z_H,Z_E,DEI_z,DEI_equal,log_DEI_equal,DEI_carbon_first,log_DEI_carbon_first,DEI_water_first,log_DEI_water_first,DEI_energy_first,log_DEI_energy_first,DEI_tier
edamame,8.29,7.934,1.518,500,7.164,8.014,0.133,0.85,Japanese,boil,7.174,0.5004,0.3009,0.19,322.8,321.8,0.4,0.27,boil,2,153,,0.0314479959087131,0.0634268487143711,0.274,0.122958281541028,0.1000807101329493,0.1080754233343638,0.160718711155771,0.122958281541028,67.42124154714898,2.1150499691472033,-2.095910155605574,4.210960124752777,0.7864345576286573,-0.789618550320495,1.5760531079491522,67.42124154714898,4.210960124752777,82.8331452583359,4.416828286342888,76.70569075036045,4.339975900540857,51.580801889116735,3.943149546844891,A
elote,9.9163,7.965,1.319,500,7.51,8.024,0.116,0.515,Mexican,grill,7.372,0.903,0.6085,0.285,384.9,383.9,0.6,2.006,grill,5,250,,0.0569273796586332,0.0787445186366354,0.406,0.1805572994317562,0.1496498194884755,0.155104104232976,0.2369179745738172,0.1805572994317562,54.92051571001694,2.2941798678500285,-1.7117071032098954,4.005886971059924,1.5977658371757049,-0.43054070340854994,2.028306540584255,54.92051571001694,4.005886971059924,66.26336091747609,4.193637118758873,63.933188931642334,4.157838615149517,41.8554143806018,3.7342211644477157,A
enchilada,5.8499,7.924,1.983,500,6.798,8.01,0.174,1.212,Mexican,bake,6.83,2.3305,1.941,0.38,879.3,878.3,0.8,5.294,bake,6,330,,0.1472697052994949,0.2006938907713772,0.538,0.2953211986902908,0.2583083253425918,0.2716643717105624,0.3559908990177181,0.2953211986902908,19.808601705341534,1.7664245670805667,-1.219691705845425,2.986116272925992,-0.4308866347852573,0.2849085413537896,-0.7157951761390469,19.808601705341534,2.986116272925992,22.64696653598499,3.120025915188836,21.533556141961157,3.069612469216814,16.432723466081764,2.799274680094424,D
escargot,8.4138,7.971,1.611,500,7.4,8.028,0.141,0.628,French,bake,7.185,0.962,0.5725,0.38,424.5,423.5,0.8,1.962,bake,4,95,,0.0606613181614779,0.0885123081522822,0.538,0.22905787543792,0.1869587361188095,0.1939214836165106,0.30629340657844,0.22905787543792,36.73220134393648,2.129873214978523,-1.4737805761890834,3.6036537911676065,0.8481961098686656,-0.12818342295419272,0.9763795328228583,36.73220134393648,3.6036537911676065,45.00351347397404,3.8067405639218768,43.387663105129235,3.7701751404462773,27.46973920852349,3.3130850063789534,B
fajita,2.2025,7.832,1.959,500,5.85,7.995,0.172,2.146,Mexican,grill,6.671,1.6045,1.31,0.285,830.3,829.3,0.6,2.221,grill,5,325,,0.1013232755865243,0.1886074845525213,0.406,0.2319769200463485,0.1993135089313925,0.2211345611728917,0.2754826900347614,0.2319769200463485,9.494479017826192,0.7895930788281976,-1.4611173948233878,2.2507104736515853,-2.250507681959764,-0.10998581661613123,-2.140521865343633,9.494479017826192,2.2507104736515853,11.05043010786661,2.4024693509950845,9.959998963156188,2.298576967495717,7.995057692089767,2.0788235622811166,E
falafel,5.653,7.959,1.417,500,7.506,8.023,0.124,0.517,Mediterranean,deep_fry,7.341,0.8195,0.335,0.475,871.3,870.3,1.0,1.368,deep_fry,7,258,,0.0516429073707089,0.1987205999601355,0.67,0.3067878357769481,0.2430016036753883,0.279771026822745,0.3975908768327111,0.3067878357769481,18.42641506852327,1.7321863776931536,-1.1815988589812332,2.9137852366743866,-0.5291164379844295,0.35639266568745065,-0.8855091036718802,18.42641506852327,2.9137852366743866,23.263220960267873,3.146873613869324,20.20580924407723,3.005970149402591,14.218133084523807,2.654518127747899,D
fish_and_chips,3.4085,7.913,1.966,500,6.583,8.014,0.172,1.431,Other,deep_fry,6.801,2.0975,1.613,0.475,769.4,768.4,1.0,1.173,deep_fry,5,530,,0.1325238125679217,0.1735858082519433,0.67,0.3253698736066217,0.2771583583469467,0.2874238572679521,0.4115274052049663,0.3253698736066217,10.475770120379803,1.2262723118207028,-1.1227926711303742,2.3490649829510772,-1.6488563733858606,0.47223488625749194,-2.1210912596433524,10.475770120379803,2.3490649829510772,12.298023484946615,2.509438557185221,11.858792907446134,2.47306960992826,8.282558966643679,2.114151974592309,E
french_fries,5.1836,7.818,2.069,500,5.534,8.005,0.181,2.47,American,deep_fry,6.585,0.6991,0.2146,0.475,178.4,177.4,1.0,0.51,deep_fry,3,232,,0.0440231413411749,0.027808949571457,0.67,0.247277363637544,0.1964638080634517,0.1924102601210222,0.352958022728158,0.247277363637544,20.962695184659342,1.6454997955791224,-1.3972446426614702,3.0427444382405926,-0.7632914995471076,-0.014601371833635595,-0.748690127713472,20.962695184659342,3.0427444382405926,26.384503339800165,3.2727768430988915,26.940351292803303,3.2936252107191493,14.686165680365669,2.68690594048326,D
french_onion_soup,9.2211,7.944,1.746,500,7.181,8.02,0.153,0.839,French,simmer,7.065,4.4295,4.23,0.19,1218.5,1217.5,0.4,20.822,simmer,5,350,,0.2801093140701911,0.2843614211680287,0.274,0.2794902450794066,0.2796450123271027,0.2807080391015621,0.278117683809555,0.2794902450794066,32.992564722179026,2.221494336308958,-1.274787888321964,3.4962822246309218,1.2509432918020917,0.1862168458123242,1.0647264459897676,32.992564722179026,3.4962822246309218,32.97430525674463,3.4957286295943057,32.84943327420609,3.4919344928550484,33.155389019830466,3.5012052681204304,C
fresh_spring_roll,7.5144,7.897,1.564,500,7.014,8.014,0.137,1.0,Vietnamese,raw,7.119,1.0375,1.028,0.0,406.0,405.0,0.0,0.369,raw,7,200,,0.0654394937032538,0.0839490731512856,0.01,0.0531295222848464,0.0562070151394483,0.0608344100014562,0.0423471417136348,0.0531295222848464,141.43548966453358,2.0168211796981685,-2.9350225299986996,4.951843709696869,0.3995019250167844,-1.2249377874264187,1.624439712443203,141.43548966453358,4.951843709696869,133.69149707304237,4.895534885025253,123.52219738500179,4.816420875828413,177.44763155007783,5.178675531863831,A
