dish_id,H_yelp,H_foodcom,H_crocufid,H_foodpics,H_google,H_tripadvisor,n_foodcom,n_crocufid,n_foodpics,n_google,n_ta
pita,7.042,8.644628099173554,,5.2527083333333335,8.680913064594463,8.39969947407964,121.0,,1.0,2059.0,3993.0
pizza,6.838,8.606060606060606,5.579000000000001,6.8289196950710105,8.90578158458244,8.405227122997507,33.0,2.0,4.0,56974.0,119913.0
pizza_margherita,7.126,9.692307692307692,,,8.811681772406848,8.393968559512352,26.0,,,993.0,3117.0
pozole,7.237,9.473684210526315,,,9.007874015748031,8.96551724137931,19.0,,,381.0,29.0
pulled_pork,6.972,9.866666666666667,,,8.96440986591624,8.509944134078212,15.0,,,6041.0,4475.0
quesadilla,6.777,8.454545454545455,,,8.201421800947868,8.397559409120102,22.0,,,4220.0,3114.0
quiche,7.306,9.146496815286625,,5.476501624603175,9.150537634408602,8.356340288924558,157.0,,1.0,558.0,3738.0
raita,6.859,9.85,,,7.901639344262295,8.382671480144404,40.0,,,61.0,1662.0
ramen,6.942,,,,8.98277027027027,8.374108053007136,,,,11840.0,7848.0
ratatouille,7.242,9.261904761904763,,1.1493333333333333,8.824742268041238,8.511450381679388,84.0,,1.0,97.0,1572.0
ravioli,7.222,7.0,,5.2623257459101165,8.879936808846761,8.743051562200499,6.0,,5.0,2532.0,20868.0
red_curry,7.176,,,,9.057356608478804,8.445830085736555,,,,401.0,1283.0
ribs,7.004,8.847222222222221,,,8.853833732390445,8.42413487133984,144.0,,,17959.0,16905.0
risotto,7.082,9.0625,3.941,,9.061806656101426,8.527333612390121,64.0,1.0,,1893.0,23890.0
samgyeopsal,7.223,,,,8.0,7.2,,,,8.0,5.0
samosa,7.343,9.133333333333333,,,8.708588957055214,8.396358907672301,30.0,,,652.0,3845.0
sashimi,7.112,,,,8.952556425610318,8.578122833772355,,,,2171.0,7213.0
satay,7.066,9.517241379310345,,,8.492424242424242,8.250600480384307,58.0,,,264.0,2498.0
scallion_pancake,6.964,8.909090909090908,,,8.82213438735178,8.575835475578407,11.0,,,253.0,389.0
shawarma,7.158,9.142857142857142,,,9.019955654101995,8.386808272778088,7.0,,,902.0,1789.0
souffle,7.419,,,,8.982839313572542,8.915594329334787,,,,641.0,9170.0
soup,6.733,,,,8.607311669128508,8.186228524679574,,,,27080.0,73340.0
spanakopita,7.365,9.24,,,9.00952380952381,8.358490566037736,50.0,,,105.0,318.0
spring_rolls,6.845,8.689655172413794,,5.3026785714285705,8.570437798006068,8.314260302401424,29.0,,1.0,2307.0,6746.0
steak,6.761,7.666666666666667,,6.144100428333333,8.696916790490341,8.403663663663664,6.0,,2.0,53840.0,166500.0
sundubu_jjigae,7.119,,,,9.133333333333333,8.166666666666666,,,,30.0,12.0
sushi,6.974,3.2,,5.689172924440287,9.038945079875225,8.459026494146642,5.0,,7.0,21158.0,29214.0
