dish_id,H_mean,H_median,H_std,H_n,H_q25,H_q75,H_ci95,H_iqr,cuisine,cook_method
patatas_bravas,7.31,7.928,1.34,500,7.39,8.019,0.117,0.629,Spanish,deep_fry
peking_duck,7.07,7.882,1.614,500,7.064,8.018,0.141,0.954,Chinese,roast
penne_arrabbiata,7.216,7.923,1.522,193,7.395,8.023,0.215,0.629,Italian,boil
pho,6.974,7.916,1.767,500,6.884,8.016,0.155,1.132,Vietnamese,boil
pita,7.042,7.926,1.741,500,7.193,8.021,0.153,0.827,Mediterranean,bake
pizza,6.838,7.92,1.892,500,6.465,8.014,0.166,1.549,Italian,bake
pizza_margherita,7.126,7.937,1.61,500,7.116,8.028,0.141,0.912,Italian,bake
pozole,7.237,7.956,1.474,500,7.21,8.019,0.129,0.809,Mexican,simmer
pulled_pork,6.972,7.908,1.779,500,7.055,8.011,0.156,0.956,American,slow_cook
quesadilla,6.777,7.911,1.985,500,6.251,8.011,0.174,1.76,Mexican,pan_fry
quiche,7.306,7.965,1.515,500,7.692,8.02,0.133,0.328,French,bake
raita,6.859,7.871,1.867,500,6.821,8.002,0.164,1.181,Indian,raw
ramen,6.942,7.914,1.81,500,6.767,8.015,0.159,1.248,Japanese,boil
ratatouille,7.242,7.933,1.502,500,7.394,8.018,0.132,0.624,French,simmer
ravioli,7.222,7.961,1.569,500,7.533,8.025,0.138,0.492,Italian,boil
red_curry,7.176,7.945,1.601,500,7.385,8.018,0.14,0.633,Thai,simmer
ribs,7.004,7.917,1.775,500,7.013,8.015,0.156,1.002,American,smoke
risotto,7.082,7.941,1.733,500,7.24,8.016,0.152,0.776,Italian,simmer
samgyeopsal,7.223,7.929,1.52,500,7.401,8.022,0.133,0.622,Korean,grill
samosa,7.343,7.965,1.431,500,7.633,8.019,0.125,0.386,Indian,deep_fry
sashimi,7.112,7.937,1.623,500,7.236,8.017,0.142,0.781,Japanese,raw
satay,7.066,7.918,1.659,500,7.003,8.024,0.145,1.021,Thai,grill
scallion_pancake,6.964,7.775,1.658,500,6.808,8.003,0.145,1.195,Chinese,pan_fry
shawarma,7.158,7.952,1.716,500,7.516,8.017,0.15,0.501,Mediterranean,roast
souffle,7.419,7.953,1.215,500,7.482,8.024,0.106,0.542,French,bake
soup,6.733,7.899,1.968,500,6.109,8.013,0.172,1.905,Other,simmer
